,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
398,,240 GB,,"2.5""",1.92,,SATA 6 Gb/s,SanDisk,,MLC (toggle),SDSSDXPS-240G-G25,,$0.521,,Marvell 9187
399,64 MB,1 TB,,"3.5""",9.57,,SATA 3 Gb/s,Western Digital,,,WD1003FBYX,,$0.105,7200,
400,128 MB,8 TB,,"3.5""",25.17,,SATA 6 Gb/s,Hitachi,,,0F23666,,$0.040,7200,
401,32 MB,600 GB,,"3.5""",3.41,,SATA 6 Gb/s,Western Digital,,,WD6000HLHX,,$0.294,10000,
402,256 MB,12 TB,,"3.5""",30.00,,SATA 6 Gb/s,Toshiba,,,HDWG21CXZSTA,,$0.033,7200,
403,,256 GB,Black,M.2-2280,8.54,,M.2 (B+M),Team,,,TM8PS7256G0C101,,$0.117,,
404,8 MB,320 GB,,"3.5""",13.45,,SATA 3 Gb/s,Western Digital,,,WD3200AVVS,,$0.074,5400,
405,,180 GB,,"2.5""",1.88,,SATA 6 Gb/s,Intel,,,SSDSC2KF180H6X1,,$0.533,,
406,,500 GB,Black / Yellow,"2.5""",9.44,,SATA 6 Gb/s,Mushkin,,,MKNSSDSR500GB,,$0.106,,
407,4 GB,4 TB,Black,"2.5""",6.05,,SATA 6 Gb/s,Samsung,,,MZ-76E4T0B/AM / MZ-76E4T0B/EU,,$0.165,,
408,128 MB,2 TB,,"3.5""",18.53,,SATA 6 Gb/s,Western Digital,,,WD2005FBYZ,,$0.054,7200,
409,32 MB,1 TB,,"3.5""",14.29,,SATA 3 Gb/s,Samsung,,,HE103SJ,,$0.070,7200,
410,,480 GB,Black / Green,"2.5""",8.00,,SATA 6 Gb/s,ADATA,,,ASU630SS-480GQ-R,,$0.125,,
411,,240 GB,Black / Green,"2.5""",5.19,,SATA 6 Gb/s,ADATA,,,ASU630SS-240GQ-R,,$0.193,,
412,,512 GB,,M.2-2280,4.65,,M.2 (M),Silicon Power,,,SP512GBP34A80M28,,$0.215,,
413,64 MB,6 TB,,"3.5""",33.58,,SATA 6 Gb/s,Western Digital,,,WD60PURZ,,$0.030,5400,
414,64 MB,1 TB,,"3.5""",15.18,,SATA 6 Gb/s,Western Digital,,,WD10EARX,,$0.066,5400,
415,128 MB,4 TB,,"3.5""",37.04,,SATA 6 Gb/s,Toshiba,,,HDWE140XZSTA,,$0.027,7200,
416,,250 GB,,"2.5""",2.78,,SATA 6 Gb/s,Crucial,,,CT250MX200SSD1,,$0.360,,
417,,240 GB,,"2.5""",4.17,,SATA 6 Gb/s,PNY,,MLC (synchronous),SSD9SC240GMDA-RB,,$0.240,,Sandforce SF-2281
418,256 MB,12 TB,,"3.5""",28.24,,SATA 6 Gb/s,Seagate,,,ST12000DM0007,,$0.035,7200,
419,,960 GB,,"2.5""",2.10,,SATA 6 Gb/s,Samsung,,,MZ7LM960HCHP-00003,,$0.477,,
420,,2 TB,,"2.5""",6.67,,SATA 6 Gb/s,Seagate,,,STGS2000401,,$0.150,,
421,,500 GB,,M.2-2280,2.22,,M.2 (M),SanDisk,,,SDSSDXPM2-500G-G25,,$0.450,,
422,,250 GB,,"2.5""",3.85,,SATA 6 Gb/s,Seagate,,,ZA250CM10002,,$0.260,,
423,8 MB,250 GB,,"2.5""",8.62,,SATA 3 Gb/s,Seagate,,,ST9250315AS,,$0.116,5400,
424,,64 GB,,"2.5""",2.13,,SATA 6 Gb/s,Transcend,,,TS64GSSD370S,,$0.469,,
425,128 MB,4 TB,,"3.5""",22.22,,SATA 6 Gb/s,Western Digital,,,WD4002FFWX,,$0.045,7200,
426,64 MB,4 TB,,"3.5""",34.93,,SATA 6 Gb/s,Western Digital,,,WD40PURX,,$0.029,5400,
427,,240 GB,Black,"2.5""",6.92,,SATA 6 Gb/s,PNY,,,SSD7CS900-240-PB,,$0.144,,
428,,120 GB,,"2.5""",1.85,,SATA 6 Gb/s,PNY,,,SSD7CS1311-120-RB,,$0.542,,
429,,1 TB,Gold,"2.5""",10.42,,SATA 6 Gb/s,Team,,,T253TD001T3C101,,$0.096,,
430,64 MB,2 TB,,"3.5""",20.06,,SATA 6 Gb/s,Toshiba,,,HDWD120UZSVA,,$0.050,7200,
431,,512 GB,,M.2-2280,5.12,,M.2 (M),Sabrent,,,SB-ROCKET-512,,$0.195,,
432,,1 TB,,"2.5""",3.85,,SATA 6 Gb/s,Samsung,,TLC (toggle),MZ-7TE1T0BW,,$0.260,,Samsung MEX
433,,960 GB,,"2.5""",3.00,,SATA 6 Gb/s,Crucial,,MLC (synchronous),CT960M500SSD1,True,$0.333,,Marvell 9187
434,,2 TB,,M.2-2280,5.00,,M.2 (M),Sabrent,,,SB-ROCKET-2TB,,$0.200,,
435,,1 TB,,M.2-2280,4.04,,M.2 (M),Western Digital,,,WDS100T2X0C,,$0.247,,
436,,120 GB,,"2.5""",1.54,,SATA 6 Gb/s,Corsair,,,CSSD-F120GBLSB,,$0.650,,
437,64 MB,1 TB,,"3.5""",10.90,,SATA 6 Gb/s,Seagate,,,ST1000NM0011,,$0.092,7200,
438,,1 TB,Black,M.2-2280,9.62,,M.2 (B+M),Team,,,TM8PS7001T0C101,,$0.104,,
439,,160 GB,,"2.5""",1.90,,SATA 3 Gb/s,Intel,,MLC,SSDSA2BW160G301,,$0.525,,Intel PC29AS21BA0
440,16 MB,750 GB,,"3.5""",18.75,,SATA 6 Gb/s,Seagate,,,ST3750640NS,,$0.053,7200,
441,256 MB,250 GB,,"2.5""",5.02,,SATA 6 Gb/s,Crucial,,,CT250MX500SSD1,,$0.199,,
442,256 MB,8 TB,,"3.5""",27.12,,SATA 6 Gb/s,Western Digital,,,WD8003FFBX,,$0.037,7200,
443,64 MB,3 TB,,"3.5""",8.58,,SATA 6 Gb/s,Western Digital,,,WD3001FFSX,,$0.117,7200,
444,32 MB,1 TB,,"3.5""",15.41,,SATA 3 Gb/s,Western Digital,,,WD10EADS,,$0.065,5400,
445,8 MB,1 TB,,"2.5""",20.41,,SATA 6 Gb/s,Hitachi,,,0J22413,,$0.049,5400,
446,,128 GB,Blue,M.2-2280,3.88,,M.2 (B+M),Gigabyte,,,GP-GSM2NE8128GNTD,,$0.258,,
447,64 MB,2 TB,,"3.5""",16.84,,SATA 6 Gb/s,Western Digital,,,WD2002FFSX,,$0.059,7200,
448,1 GB,1 TB,Black,"2.5""",3.36,,SATA 6 Gb/s,Samsung,,,MZ-76P1T0BW / MZ-76P1T0B/EU,,$0.297,,
449,64 MB,3 TB,,"3.5""",31.58,,SATA 6 Gb/s,Seagate,,,ST3000VX010,,$0.032,5900,
450,,250 GB,Blue,M.2-2280,5.00,,M.2 (M),Mushkin,,,MKNSSDPL250GB-D8,,$0.200,,
451,64 MB,1.5 TB,,"3.5""",21.43,,SATA 6 Gb/s,Seagate,,,ST1500DM003,,$0.047,7200,
452,128 MB,2 TB,,"3.5""",17.55,,SATA 6 Gb/s,Western Digital,,,WD2004FBYZ,,$0.057,7200,
453,,480 GB,Black,"2.5""",5.52,,SATA 6 Gb/s,Kingston,,,SHFR200/480G,,$0.181,,
454,,960 GB,Black,M.2-2280,6.86,,M.2 (B+M),Corsair,,,CSSD-F960GBMP300,,$0.146,,
455,,1.2 TB,,"2.5""",1.73,,SATA 6 Gb/s,Intel,,,SSDSC2BA012T401,,$0.578,,
456,,1 TB,Blue / Black,M.2-2280,7.69,,M.2 (B+M),Inland,,,1TB NVME PRO,,$0.130,,
457,64 MB,1 TB,,"2.5""",5.36,,SATA 6 Gb/s,Western Digital,,,WD1000CHTZ,,$0.187,10000,
458,,1 TB,Green / Black,M.2-2280,9.09,,M.2 (B+M),ADATA,,,ASU800NS38-1TT-C,,$0.110,,
459,,240 GB,,"2.5""",6.02,,SATA 6 Gb/s,Western Digital,,,WDS240G1G0A,,$0.166,,
460,16 MB,250 GB,,"3.5""",6.94,,SATA 3 Gb/s,Western Digital,,,WD2502ABYS,,$0.144,7200,
461,64 MB,1 TB,,"3.5""",20.04,,SATA 6 Gb/s,Toshiba,,,HDWD110XZSTA,,$0.050,7200,
462,,1.92 TB,,"2.5""",2.42,,SATA 6 Gb/s,Corsair,,MLC (toggle),CSSD-N1920GBXTI,,$0.414,,
463,,512 GB,,"2.5""",9.31,,SATA 6 Gb/s,Addlink,,,ad512GBS10S3,,$0.107,,
464,,240 GB,,"2.5""",4.37,,SATA 6 Gb/s,SanDisk,,,SDSSDA-240G-G25,,$0.229,,
465,,960 GB,,"2.5""",3.43,,SATA 6 Gb/s,Toshiba,,,THN-TR20Z9600U8(CS,,$0.292,,
466,,800 GB,,"2.5""",3.40,,PCI-Express x4,Intel,,MLC,SSDPE2ME800G401,,$0.294,,
467,64 MB,4 TB,,"3.5""",37.84,,SATA 6 Gb/s,Seagate,,,ST4000VX007,,$0.026,5900,
468,,1.92 TB,Black,M.2-2280,6.00,,M.2 (M),Corsair,,,CSSD-F1920GBMP510,,$0.167,,
469,32 MB,1 TB,,"3.5""",25.65,,SATA 3 Gb/s,Hitachi,A7K2000,,0A39289,,$0.039,7200,
470,32 MB,1 TB,,"2.5""",20.41,,SATA 6 Gb/s,Hitachi,,,0S03563,,$0.049,7200,
471,,250 GB,,M.2-2280,5.11,,M.2 (B+M),Western Digital,,,WDS250G2B0B,,$0.196,,
472,128 MB,4 TB,,"3.5""",13.58,,SATA 6 Gb/s,Western Digital,,,WD4004FZWX,,$0.074,7200,
473,64 MB,1 TB,,"3.5""",10.42,,SATA 6 Gb/s,Toshiba,,,MG03ACA100,,$0.096,7200,
474,128 MB,1 TB,,"2.5""",23.01,,SATA 6 Gb/s,Seagate,,,ST1000LM035,,$0.043,5400,
475,,240 GB,Green / Black,"2.5""",4.81,,SATA 6 Gb/s,ADATA,,,ASU650SS-240GT-C,,$0.208,,
476,,1 TB,,"2.5""",9.09,,SATA 6 Gb/s,Micron,,,MTFDDAK1T0TBN-1AR1ZABYY,,$0.110,,
477,64 MB,1 TB,,"3.5""",22.28,,SATA 6 Gb/s,Western Digital,,,WD10EZRX,,$0.045,5400,
478,,1 TB,Black,M.2-2280,6.14,,M.2 (M),ADATA,,,ASX8200PNP-1TT-C,,$0.163,,
479,,240 GB,Black,M.2-2280,5.33,,M.2 (B+M),Corsair,,,CSSD-F240GBMP300,,$0.187,,
480,64 MB,2 TB,,"3.5""",27.59,,SATA 6 Gb/s,Seagate,,,ST2000VX008,,$0.036,5900,
481,32 MB,1 TB,,"3.5""",17.10,,SATA 6 Gb/s,Seagate,,,ST31000524AS,,$0.058,7200,
482,64 MB,4 TB,,"3.5""",36.37,,SATA 6 Gb/s,Seagate,,,ST4000VN008,,$0.027,5900,
483,,960 GB,Black,M.2-2280,5.20,,M.2 (M),ADATA,XPG SX8200 960,,ASX8200NP-960GT-C,,$0.192,,
484,64 MB,500 GB,,"2.5""",2.83,,SATA 6 Gb/s,Western Digital,,,WD5000BHTZ,,$0.354,10000,
485,,250 GB,,M.2-2280,3.58,,M.2 (B+M),Crucial,,,CT250MX200SSD4,,$0.280,,
486,8 MB,250 GB,,"3.5""",9.26,,SATA 6 Gb/s,Seagate,,,ST3250312AS,,$0.108,7200,
487,128 MB,1 TB,,"3.5""",11.86,,SATA 6 Gb/s,Seagate,,,ST1000NM0053,,$0.084,7200,
488,,1 TB,Black,M.2-2280,4.03,,M.2 (M),Samsung,,,MZ-V7S1T0B/AM / MZ-V7S1T0BW,,$0.248,,
489,128 MB,500 GB,,"2.5""",14.29,,SATA 6 Gb/s,Seagate,,,ST500LM030,,$0.070,5400,
490,,120 GB,,"2.5""",2.67,,SATA 6 Gb/s,Crucial,,,CT120BX300SSD1,,$0.375,,
491,32 MB,500 GB,,"2.5""",11.11,8.389 GB,SATA 6 Gb/s,Seagate,,,ST500LX003,,$0.090,7200,
492,,1 TB,,"2.5""",5.89,,SATA 6 Gb/s,Western Digital,,,WDS100T1B0A,,$0.170,,
493,,120 GB,,"2.5""",0.66,,SATA 6 Gb/s,Kingston,,MLC (synchronous),SH103S3/120G,,$1.516,,Sandforce SF-2281
494,,1 TB,Green,M.2-2280,7.41,,M.2 (M),Mushkin,,,MKNSSDPL1TB-D8,,$0.135,,
495,,480 GB,,"2.5""",4.41,,SATA 6 Gb/s,Silicon Power,,,SP480GBSS3S55S25AE,,$0.227,,
496,,500 GB,Black,"2.5""",7.14,,SATA 6 Gb/s,Team,,,T253TR500G3C313,,$0.140,,
497,,512 GB,,M.2-2280,4.45,,M.2 (M),Intel,,,SSDPEKKW512G8XT,,$0.225,,
498,,1 TB,,"2.5""",6.33,,SATA 6 Gb/s,Seagate,,,ZA1000CM10002,,$0.158,,
499,,256 GB,Green / Black,M.2-2280,4.93,,M.2 (M),Samsung,,,MZVLB256HAHQ-00000,,$0.203,,
500,,250 GB,,"2.5""",5.00,,SATA 6 Gb/s,SanDisk,,,SDSSDH3-250G-G25,,$0.200,,
501,512 MB,256 GB,Black,"2.5""",3.05,,SATA 6 Gb/s,Samsung,,,MZ-76P256BW / MZ-76P256B/EU,,$0.328,,
502,256 MB,10 TB,,"3.5""",30.98,,SATA 6 Gb/s,Seagate,,,ST10000DM0004,,$0.032,7200,
503,256 MB,10 TB,,"3.5""",33.75,,SATA 6 Gb/s,Toshiba,,,HDWR11AXZSTA,,$0.030,7200,
504,,240 GB,,"2.5""",5.35,,SATA 6 Gb/s,Toshiba,,,THN-TR20Z2400U8(CS / THN-TR20Z2400U8 / 4041H45,,$0.187,,
505,32 MB,2 TB,,"2.5""",20.20,,SATA 6 Gb/s,Samsung,,,ST2000LM003,,$0.050,5400,
506,512 MB,512 GB,,M.2-2280,2.49,,M.2 (M),Samsung,,,MZ-V5P512BW,,$0.402,,
507,32 MB,750 GB,,"3.5""",19.74,,SATA 3 Gb/s,Western Digital,,,WD7502ABYS,,$0.051,7200,
508,64 MB,2 TB,,"3.5""",22.22,8.59 GB,SATA 6 Gb/s,Seagate,,,ST2000DX002,,$0.045,7200,
509,,256 GB,,"2.5""",5.95,,SATA 6 Gb/s,Intel,,,SSDSC2KW256G8X1,,$0.168,,
510,64 MB,3 TB,,"3.5""",25.02,,SATA 6 Gb/s,Toshiba,,,DT01ACA300,,$0.040,7200,
511,256 MB,12 TB,,"3.5""",25.67,,SATA 6 Gb/s,Seagate,,,ST12000VN0008,,$0.039,7200,
512,128 MB,6 TB,,"3.5""",30.93,,SATA 6 Gb/s,Toshiba,,,MG04ACA600E,,$0.032,7200,
513,,512 GB,Green / Black,M.2-2280,8.39,,M.2 (M),Intel,,,SSDPEKNW512G8XT,,$0.119,,
514,,32 GB,,"2.5""",0.11,,SATA 3 Gb/s,Intel,,SLC,SSDSA2SH032G101,,$9.000,,Varies
515,64 MB,1 TB,,"3.5""",20.89,,SATA 3 Gb/s,Seagate,,,ST310005N1A1AS-RK,,$0.048,7200,
516,,15.36 TB,,"2.5""",2.51,,SAS 12 Gb/s,Seagate,,,XS15360SE70103,,$0.399,,
517,128 MB,1 TB,,"2.5""",22.23,,SATA 6 Gb/s,Seagate,,,ST1000LM048,,$0.045,5400,
518,256 MB,8 TB,,"3.5""",43.15,,SATA 6 Gb/s,Seagate,,,ST8000DMZ04,,$0.023,5400,
519,64 MB,3 TB,,"3.5""",31.58,,SATA 6 Gb/s,Western Digital,,,WD3000FYYZ,,$0.032,7200,
520,128 MB,6 TB,,"3.5""",35.32,,SATA 6 Gb/s,Toshiba,,,HDWN160XZSTA,,$0.028,7200,
521,256 MB,4 TB,,"3.5""",40.00,,SATA 6 Gb/s,Seagate,,,ST4000DMZ04,,$0.025,5400,
522,,500 GB,,M.2-2280,2.96,,M.2 (B+M),Samsung,,,MZ-N5E500BW,,$0.338,,
523,32 MB,1 TB,,"2.5""",21.87,,SATA 6 Gb/s,Hitachi,Travelstar,,0J22423,,$0.046,7200,
524,256 MB,12 TB,,"3.5""",24.54,,SATA 6 Gb/s,Western Digital,,,WD121KRYZ,,$0.041,7200,
525,,256 GB,,M.2-2280,5.45,,M.2 (B+M),Intel,,,SSDSCKKW256G8X1,,$0.184,,
526,64 MB,4 TB,,"3.5""",27.05,,SATA 6 Gb/s,Seagate,,,ST4000VM000,,$0.037,5900,
527,,960 GB,Black,M.2-2280,6.40,,M.2 (M),Corsair,,,CSSD-F960GBMP510,,$0.156,,
528,,120 GB,Gold,"2.5""",6.00,,SATA 6 Gb/s,Team,,,T253TD120G3C101,,$0.167,,
529,,1 TB,,M.2-2280,2.23,,M.2 (M),SanDisk,,,SDSSDXPM2-1T00-G25,,$0.449,,
530,,240 GB,,"2.5""",0.48,,SATA 6 Gb/s,Corsair,,MLC (synchronous),CSSD-F240GBGT-BK,,$2.097,,Varies
531,,512 GB,,M.2-2280,3.14,,M.2 (M),Intel,,,SSDPEKKW512G7X1,,$0.318,,
532,16 MB,1 TB,,"2.5""",14.49,,SATA 6 Gb/s,Western Digital,,,WD10JFCX,,$0.069,5400,
533,16 MB,500 GB,,"2.5""",11.50,,SATA 6 Gb/s,Western Digital,,,WD5000BPKX,,$0.087,7200,
534,,128 GB,Silver,"2.5""",3.77,,SATA 6 Gb/s,Intel,,,SSDSC2KW128G8X1,,$0.266,,
535,512 MB,500 GB,Black / Green,M.2-2280,5.59,,M.2 (B+M),Samsung,,,MZ-N6E500BW,,$0.179,,
536,128 MB,4 TB,,"3.5""",27.53,,SATA 6 Gb/s,Toshiba,,,PH3400U-1I72,,$0.036,7200,
537,,1 TB,Black,M.2-2280,7.41,,M.2 (M),ADATA,,,ASX6000PNP-1TT-C,,$0.135,,
538,,256 GB,,"2.5""",3.66,,SATA 6 Gb/s,ADATA,,,ASU900SS-256GM-C,,$0.273,,
539,256 MB,6 TB,,"3.5""",50.00,,SATA 6 Gb/s,Seagate,,,ST6000DM003,,$0.020,5400,
540,32 MB,1 TB,,"3.5""",15.88,,SATA 3 Gb/s,Seagate,,,ST31000528AS,,$0.063,7200,
541,,512 GB,Black,M.2-2280,9.85,,M.2 (B+M),Team,,,TM8PS7512G0C101,,$0.102,,
542,,1 TB,Black,"2.5""",9.52,,SATA 6 Gb/s,Team,,,T253X2001T0C101,,$0.105,,
543,128 MB,2 TB,,"3.5""",16.81,,SATA 6 Gb/s,Seagate,,,ST2000NM0105,,$0.059,7200,
544,64 MB,1 TB,,"3.5""",6.90,,SATA 3 Gb/s,Toshiba,,,MK1002TSKB,,$0.145,7200,
545,,2 TB,,M.2-2280,8.89,,M.2 (B+M),Western Digital,,,WDS200T2B0B,,$0.112,,
546,512 MB,500 GB,,M.2-2280,2.72,,M.2 (M),Samsung,,3D V-NAND TLC,MZ-V6E500 / MZ-V6E500BW,,$0.368,,
547,,256 GB,,"2.5""",2.56,,SATA 6 Gb/s,SanDisk,,MLC (toggle),SD6SB1M-256G-1022I,,$0.391,,Marvell 9175
548,,1 TB,Black,M.2-2280,7.76,,M.2 (M),Crucial,,,CT1000P1SSD8,,$0.129,,
549,64 MB,3 TB,,"3.5""",27.37,,SATA 6 Gb/s,Western Digital,,,WD30PURX,,$0.037,5400,
550,16 MB,250 GB,,"3.5""",7.30,,SATA 3 Gb/s,Western Digital,,,WD2500AVCS,,$0.137,5400,
551,,256 GB,,M.2-2280,1.35,,M.2 (M),OCZ,,,RVD400-M22280-256G,,$0.742,,
552,64 MB,2 TB,,"3.5""",23.53,,SATA 3 Gb/s,Western Digital,,,WD20EARS,,$0.042,5400,
553,128 MB,6 TB,,"3.5""",25.53,,SAS 12 Gb/s,Seagate,,,ST6000NM0034,,$0.039,7200,
554,,120 GB,,"2.5""",3.09,,SATA 6 Gb/s,Kingston,,Varies,SV300S37A/120G,,$0.324,,Sandforce SF-2281
555,,480 GB,,"2.5""",9.08,,SATA 6 Gb/s,ADATA,,,ASU650SS-480GT-R,,$0.110,,
556,64 MB,1 TB,,"2.5""",16.67,,SATA 6 Gb/s,Seagate,,,ST91000640NS,,$0.060,7200,
557,,512 GB,,"2.5""",8.83,,SATA 6 Gb/s,ADATA,,,ASU800SS-512GT-C,,$0.113,,
558,,960 GB,,"2.5""",2.75,,SATA 6 Gb/s,Corsair,,,CSSD-F960GBLEB,,$0.364,,
559,64 MB,2 TB,,"3.5""",20.00,,SATA 6 Gb/s,Seagate,,,ST2000DM002,,$0.050,7200,
560,512 MB,512 GB,Black / Silver,M.2-2280,5.51,,M.2 (M),Patriot,,,VPN100-512GM28H,,$0.182,,
561,,256 GB,Black,"2.5""",3.41,,SATA 6 Gb/s,Intenso,,,3812440,,$0.293,,
562,,256 GB,,M.2-2280,2.15,,M.2 (M),Western Digital,,,WDS256G1X0C,,$0.465,,
563,128 MB,4 TB,,"3.5""",21.74,,SATA 6 Gb/s,Seagate,,,ST4000NM0045,,$0.046,7200,
564,512 MB,500 GB,Black,M.2-2280,3.34,,M.2 (M),Samsung,,,MZ-V7E500BW,,$0.300,,
565,,1 TB,Red / Black,M.2-2280,5.56,,M.2 (M),ADATA,,,AGAMMIXS11P-1TT-C,,$0.180,,
566,,120 GB,Black,"2.5""",5.46,,SATA 6 Gb/s,Crucial,,,CT120BX500SSD1,,$0.183,,
567,8 MB,320 GB,,"2.5""",10.67,,SATA 6 Gb/s,Western Digital,,,WD3200LPVX,,$0.094,5400,
568,128 MB,8 TB,Silver,"3.5""",40.02,,SATA 6 Gb/s,Toshiba,,,HDWF180XZSTA,,$0.025,7200,
569,64 MB,2 TB,,"3.5""",26.32,,SATA 3 Gb/s,Western Digital,,,WD2003FYYS-02W0B0,,$0.038,7200,
570,256 MB,240 GB,,"2.5""",2.67,,SATA 6 Gb/s,Mushkin,,,MKNSSDE3240GB,,$0.375,,
571,,2 TB,,"2.5""",6.37,,SATA 6 Gb/s,Seagate,,,ZA2000CM10002,,$0.157,,
572,,240 GB,,"2.5""",6.02,,SATA 6 Gb/s,Silicon Power,,,SP240GBSS3S55S25,,$0.166,,
573,8 MB,1 TB,,"2.5""",21.74,,SATA 3 Gb/s,Samsung,,,ST1000LM024,,$0.046,5400,
574,128 MB,3 TB,,"3.5""",17.45,,SATA 6 Gb/s,Seagate,,,ST3000NM0005,,$0.057,7200,
575,8 MB,750 GB,,"2.5""",15.64,,SATA 6 Gb/s,Western Digital,,,WD7500BPVX,,$0.064,5400,
576,64 MB,4 TB,,"3.5""",36.37,,SATA 6 Gb/s,Western Digital,,,WDBMMA0040HNC-NRSN,,$0.027,5400,
577,,256 GB,,M.2-2242,1.86,,M.2 (B+M),Transcend,,MLC (synchronous),TS256GMTS400,,$0.537,,Silicon Motion
578,,256 GB,Black,"2.5""",8.00,,SATA 6 Gb/s,Team,,,T253X2256G0C101,,$0.125,,
579,,500 GB,Black,M.2-2280,3.95,,M.2 (M),Samsung,,,MZ-V7S500B/AM / MZ-V7S500BW,,$0.253,,
580,,512 GB,,M.2-2280,2.69,,M.2 (M),Intel,,,SSDPEKKF512G7X1,,$0.371,,
581,,120 GB,,"2.5""",6.32,,SATA 6 Gb/s,TCSunBow,,,X3-120GB,,$0.158,,
582,256 MB,14 TB,,"3.5""",29.17,,SATA 6 Gb/s,Seagate,,,ST14000VN0008,,$0.034,7200,
583,,512 GB,,"2.5""",6.92,,SATA 6 Gb/s,Crucial,,MLC (synchronous),CT512M4SSD2,,$0.145,,Marvell 9174
584,64 MB,4 TB,,"3.5""",45.00,,SATA 6 Gb/s,Hitachi,,,HUS724040ALE640,,$0.022,7200,
585,,1 TB,,"2.5""",8.48,,SATA 6 Gb/s,Samsung,,,MZ-76Q1T0B/AM / MZ-76Q1T0BW,,$0.118,,
586,16 MB,500 GB,,"3.5""",8.77,,SATA 3 Gb/s,Western Digital,,,WD5000AVCS,,$0.114,5400,
587,64 MB,4 TB,,"3.5""",40.04,,SATA 6 Gb/s,Seagate,,,ST4000DM005,,$0.025,5900,
588,,240 GB,Black,"2.5""",8.00,,SATA 6 Gb/s,Crucial,,,CT240BX500SSD1,,$0.125,,
589,,120 GB,,"2.5""",6.00,,SATA 6 Gb/s,Inland,,,349381,,$0.167,,
590,64 MB,6 TB,,"3.5""",37.50,,SATA 6 Gb/s,Western Digital,,,WD60EZRZ,,$0.027,5400,
591,,128 GB,,M.2-2280,2.56,,M.2 (B+M),Transcend,,MLC (synchronous),TS128GMTS800,,$0.391,,Silicon Motion
592,,500 GB,,M.2-2280,4.63,,M.2 (M),Western Digital,,,WDS500G2X0C,,$0.216,,
593,32 MB,1 TB,,"3.5""",2.99,,SATA 6 Gb/s,Hitachi,HUA721010KLA330,,HUA721010KLA330 (0A35772),,$0.335,7200,
594,32 MB,2 TB,,"3.5""",16.26,,SATA 3 Gb/s,Hitachi,,,0F10452 / HUA722020ALA330,,$0.061,7200,
595,,256 GB,,"2.5""",1.83,,SATA 6 Gb/s,Samsung,,3D V-NAND,MZ-7KE256BW,,$0.546,,Samsung MEX
596,16 MB,500 GB,,"3.5""",15.16,,SATA 3 Gb/s,Western Digital,,,WD5000AAKS,,$0.066,7200,
