,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
597,,512 GB,Black,"2.5""",8.68,,SATA 6 Gb/s,Team,,,T253X2512G0C101,,$0.115,,
598,,60 GB,,"2.5""",2.40,,SATA 6 Gb/s,Team,,,T2535T060G0C101,,$0.416,,
599,128 MB,2 TB,,"2.5""",25.35,,SATA 6 Gb/s,Western Digital,,,WD20SPZX,,$0.039,5400,
600,,256 GB,,"2.5""",2.59,,SATA 6 Gb/s,Samsung,,MLC (toggle),MZ-7PD256BW,,$0.386,,Samsung MDX
601,8 MB,250 GB,,"2.5""",7.81,,SATA 3 Gb/s,Toshiba,,,MK2576GSX,,$0.128,5400,
602,,500 GB,Blue / Black,M.2-2280,7.14,,M.2 (B+M),Western Digital,,,WDS500G1B0C,,$0.140,,
603,,480 GB,Black,"2.5""",4.71,,SATA 6 Gb/s,Kingston,,,SHFR200B/480G,,$0.212,,
604,64 MB,2 TB,,"3.5""",22.26,,SATA 3 Gb/s,Seagate,,,STBD2000101,,$0.045,7200,
605,64 MB,4 TB,,"3.5""",38.10,,SATA 6 Gb/s,Western Digital,,,WD40EFRX,,$0.026,5400,
606,64 MB,2 TB,,"3.5""",36.37,,SATA 6 Gb/s,Seagate,,,ST2000DM006,,$0.027,7200,
607,,500 GB,,"2.5""",7.36,,SATA 6 Gb/s,SanDisk,,,SDSSDH3-500G-G25,,$0.136,,
608,,240 GB,Black,M.2-2280,4.21,,M.2 (M),Corsair,,,CSSD-F240GBMP510,,$0.237,,
609,,2 TB,Black,M.2-2280,6.06,,M.2 (M),HP,,,5MS24AA#ABC,,$0.165,,
610,,3.84 TB,,"2.5""",7.40,,SATA 6 Gb/s,Seagate,,,XA3840LE10063,,$0.135,,
611,256 MB,12 TB,,"3.5""",26.09,,SATA 6 Gb/s,Seagate,,,ST12000NE0008,,$0.038,7200,
612,,512 GB,,M.2-2280,4.13,,M.2 (M),Plextor,,,PX-512M9PeGN,,$0.242,,
613,,128 GB,,"2.5""",5.34,,SATA 6 Gb/s,ADATA,,,ASU800SS-128GT-C,,$0.187,,
614,64 MB,4 TB,,"3.5""",30.77,,SATA 6 Gb/s,Toshiba,,,MG03ACA400,,$0.032,7200,
615,,256 GB,,M.2-2280,5.69,,M.2 (M),Silicon Power,,,SP256GBP34A80M28,,$0.176,,
616,,512 GB,Black,M.2-2280,5.69,,M.2 (M),HP,,,5MS22AA#ABC,,$0.176,,
617,64 MB,3 TB,,"3.5""",34.49,,SATA 6 Gb/s,Western Digital,,,WD30PURZ,,$0.029,5400,
618,16 MB,750 GB,,"2.5""",10.72,,SATA 3 Gb/s,Western Digital,,,WD7500BPKT,,$0.093,7200,
619,,256 GB,,M.2-2280,1.97,,M.2 (M),ADATA,,,ASX8000NP-256GM-C,,$0.508,,
620,,500 GB,,"2.5""",5.44,,SATA 6 Gb/s,Seagate,,,ZA500CM10002,,$0.184,,
621,64 MB,4 TB,,"3.5""",13.32,,SATA 6 Gb/s,Western Digital,,,WD40EZRX,,$0.075,5900,
622,,128 GB,,M.2-2280,1.98,,M.2 (B+M),SanDisk,,,SD8SNAT-128G-1122,,$0.505,,
623,8 MB,250 GB,,"3.5""",10.00,,SATA 3 Gb/s,Western Digital,,,WD2500AVVS,,$0.100,5400,
624,,256 GB,,"2.5""",3.20,,SATA 6 Gb/s,ADATA,,MLC (synchronous),ASP600S3-256GM-C,,$0.312,,JMicron JMF661
625,,128 GB,,"2.5""",1.28,,SATA 6 Gb/s,Toshiba,,MLC (toggle),HDTS212XZSTA,,$0.781,,Toshiba TC58NC5HA9GST
626,,120 GB,Black,"2.5""",4.29,,SATA 6 Gb/s,HP,,,2DP97AA#ABC,,$0.233,,
627,16 MB,750 GB,,"2.5""",9.62,,SATA 6 Gb/s,Western Digital,,,WD7500BPKX,,$0.104,7200,
628,256 MB,8 TB,,"3.5""",36.04,,SATA 6 Gb/s,Western Digital,,,WD81PURZ,,$0.028,5400,
629,,1 TB,,M.2-2280,3.32,,M.2 (B+M),Samsung,,,MZ-N5E1T0BW,,$0.301,,
630,,250 GB,,"2.5""",3.57,,SATA 6 Gb/s,SK hynix,,,HFS250G32TND-N1A2A,,$0.280,,
631,4 GB,4 TB,,"2.5""",3.16,,SATA 6 Gb/s,Samsung,MZ-75E4T0B,,MZ-75E4T0B/AM / MZ-75E4T0BW / MZ-75E4T0B/EU / MZ-75E4T0B/KR / MZ-75E4T0B/CN / MZ-75E4T0B,,$0.317,,Samsung MHX
632,,240 GB,Black,M.2-2280,5.22,,M.2 (B+M),Kingston,,,SA1000M8/240G,,$0.192,,
633,256 MB,6 TB,,"3.5""",33.70,,SATA 6 Gb/s,Seagate,,,ST6000VX001,,$0.030,5400,
634,64 MB,1 TB,,"2.5""",7.14,8.389 GB,SATA 6 Gb/s,Western Digital,,,WD10J31X,,$0.140,5400,
635,,120 GB,,"2.5""",1.13,,SATA 6 Gb/s,SanDisk,,MLC (toggle),SDSSDXP-120G-G25,,$0.883,,Marvell 9187
636,,128 GB,,"2.5""",3.84,,SATA 6 Gb/s,Transcend,,,TS128GSSD230S,,$0.261,,
637,,240 GB,,PCI-E,0.80,,PCI-Express x4,Asus,,MLC (toggle),RAIDR EXPRESS / 90MB0G60-M0EAY0,,$1.247,,Sandforce SF-2281
638,32 MB,500 GB,,"3.5""",8.35,,SATA 3 Gb/s,Western Digital,,,WD5000AVDS,,$0.120,5400,
639,,480 GB,,M.2-2280,2.61,,M.2 (M),PNY,,,M280CS2030-480-RB,,$0.383,,
640,,256 GB,Green / Black,M.2-2280,2.76,,M.2 (B+M),Silicon Power,,,SU256GBSS3A55M28AB,,$0.362,,
641,32 MB,1 TB,,"3.5""",10.05,,SATA 3 Gb/s,Seagate,,,ST31000340NS,,$0.100,7200,
642,,250 GB,,M.2-2280,1.92,,M.2 (B+M),Samsung,,,MZ-N5E250BW,,$0.520,,
643,64 MB,1 TB,,"3.5""",16.67,,SATA 6 Gb/s,Western Digital,,,WD10EFRX,,$0.060,5400,
644,64 MB,3 TB,,"3.5""",31.30,,SATA 6 Gb/s,Toshiba,,,HDWD130UZSVA,,$0.032,7200,
645,1 GB,1 TB,,"2.5""",7.70,,SATA 6 Gb/s,Crucial,,,CT1000MX500SSD1,,$0.130,,
646,,960 GB,,"2.5""",10.11,,SATA 6 Gb/s,ADATA,,,ASU655SS-960GT-C,,$0.099,,
647,1 GB,512 GB,Green / Black,M.2-2280,6.83,,M.2 (B+M),Plextor,,,PX-512M8VG,,$0.146,,
648,32 MB,1 TB,,"3.5""",14.31,,SATA 3 Gb/s,Western Digital,,,WD10EALS,,$0.070,7200,
649,,128 GB,Black,"2.5""",6.40,,SATA 6 Gb/s,Team,,,T253X2128G0C101,,$0.156,,
650,256 MB,256 GB,Black,M.2-2280,6.25,,M.2 (M),HP,,,2YY45AA#ABC,,$0.160,,
651,32 MB,1 TB,,"3.5""",20.25,,SATA 3 Gb/s,Hitachi,7K1000.C,,HDS721010CLA332,,$0.049,7200,
652,32 MB,500 GB,,"3.5""",10.00,,SATA 3 Gb/s,Seagate,,,ST3500320AS,,$0.100,7200,
653,64 MB,1 TB,,"3.5""",14.29,,SATA 6 Gb/s,Western Digital,,,WD1003FBYZ,,$0.070,7200,
654,,1 TB,Green / Black,M.2-2280,9.10,,M.2 (M),Intel,,,SSDPEKNW010T8X1,,$0.110,,
655,,512 GB,Blue / Black,M.2-2280,7.32,,M.2 (B+M),Inland,,,512GB NVME,,$0.137,,
656,16 MB,320 GB,,"2.5""",8.00,,SATA 3 Gb/s,Seagate,,,ST320LT007,,$0.125,7200,
657,16 MB,1 TB,,"2.5""",20.83,,SATA 3 Gb/s,Western Digital,,,WD10JUCT,,$0.048,5400,
658,64 MB,1 TB,,"3.5""",18.92,,SATA 6 Gb/s,Western Digital,,,WD10PURZ,,$0.053,5400,
659,,240 GB,Black,"2.5""",3.24,,SATA 6 Gb/s,Kingston,,,SHFR200B/240G,,$0.308,,
660,,32 GB,,M.2-2260,0.80,,M.2 (B+M),Transcend,,MLC (synchronous),TS32GMTS600,,$1.244,,Silicon Motion
661,,120 GB,,M.2-2280,3.65,,M.2 (B+M),Kingston,,,SUV500M8/120G,,$0.274,,
662,128 MB,6 TB,,"3.5""",25.00,,SATA 6 Gb/s,Western Digital,,,WD6002FRYZ,,$0.040,7200,
663,,512 GB,Yellow,"2.5""",9.48,,SATA 6 Gb/s,Drevo,,,X1P-512GB,,$0.105,,
664,128 MB,1 TB,,"2.5""",17.89,,SATA 6 Gb/s,Seagate,,,ST1000LM049,,$0.056,7200,
665,256 MB,10 TB,,"3.5""",34.66,,SAS 12 Gb/s,Hitachi,,,0F27502,,$0.029,7200,
666,,60 GB,,"2.5""",3.53,,SATA 6 Gb/s,TCSunBow,,,X3-60GB,,$0.283,,
667,64 MB,3 TB,,"3.5""",20.69,,SATA 6 Gb/s,Western Digital,,,WD3000F9YZ,,$0.048,7200,
668,,120 GB,,"2.5""",3.01,,SATA 6 Gb/s,Western Digital,,,WDS120G1G0A,,$0.332,,
669,,1 TB,,"2.5""",2.34,,SATA 6 Gb/s,Intel,,,SSDSC2KW010X6X1,,$0.428,,
670,8 MB,250 GB,,"3.5""",6.82,,SATA 3 Gb/s,Seagate,,,ST3250312CS,,$0.147,5900,
671,,128 GB,,M.2-2280,1.24,,M.2 (M),Intel,,,SSDPEKKF128G7X1,,$0.805,,
672,256 MB,12 TB,,"3.5""",31.01,,SATA 6 Gb/s,Seagate,,,ST12000NM0017,,$0.032,7200,
673,,60 GB,,"2.5""",1.44,,SATA 6 Gb/s,Silicon Power,,,SP060GBSS3S60S25,,$0.697,,
674,,120 GB,,"2.5""",3.44,,SATA 6 Gb/s,SanDisk,,,SDSSDA-120G-G25,,$0.291,,
675,,512 GB,,"2.5""",6.83,,SATA 6 Gb/s,Intel,,,SSDSC2KW512G8X1,,$0.146,,
676,128 MB,2 TB,,"3.5""",16.95,,SATA 6 Gb/s,Seagate,,,ST2000NM0135,,$0.059,7200,
677,128 MB,1 TB,Silver,"2.5""",20.41,,SATA 6 Gb/s,Western Digital,,,WD10SPZX,,$0.049,5400,
678,128 MB,5 TB,,"3.5""",11.93,,SATA 6 Gb/s,Seagate,,,ST5000DM002,,$0.084,7200,
679,,512 GB,Black,M.2-2280,6.83,,M.2 (M),ADATA,,,ASX6000PNP-512GT-C,,$0.146,,
680,,128 GB,,M.2-2280,3.57,,M.2 (B+M),ADATA,,,ASU800NS38-128GT-C,,$0.280,,
681,8 MB,320 GB,,"2.5""",15.33,,SATA 3 Gb/s,Toshiba,,,MK3276GSX,,$0.065,5400,
682,256 MB,10 TB,,"3.5""",33.24,,SATA 6 Gb/s,Seagate,,,ST10000VX0004,,$0.030,5900,
683,,120 GB,,"2.5""",3.97,,SATA 6 Gb/s,Transcend,,TLC (toggle),TS120GSSD220S,,$0.252,,
684,,250 GB,,"2.5""",2.78,,SATA 6 Gb/s,Crucial,,MLC,CT250BX100SSD1,,$0.360,,Silicon Motion SM2246EN
685,128 MB,6 TB,,"3.5""",8.58,,SATA 6 Gb/s,Hitachi,,,0F23269,,$0.117,7200,
686,,128 GB,,M.2-2280,1.44,,M.2 (M),ADATA,,,ASX8000NP-128GM-C,,$0.695,,
687,,240 GB,Black / Silver,"2.5""",8.00,,SATA 6 Gb/s,Lexar,,,LNS100-240RBNA,,$0.125,,
688,,480 GB,,"2.5""",5.52,,SATA 6 Gb/s,SanDisk,,,SDSSDHII-480G-G25,,$0.181,,
689,,1 TB,,M.2-2280,9.10,,M.2 (B+M),Western Digital,,,WDS100T2B0B,,$0.110,,
690,,960 GB,,"2.5""",4.37,,SATA 6 Gb/s,SanDisk,,,SDSSDHII-960G-G25,,$0.229,,
691,32 MB,500 GB,,"2.5""",9.47,,SATA 6 Gb/s,Western Digital,,,WD5000LPLX,,$0.106,7200,
692,32 MB,1 TB,,"2.5""",9.68,,SATA 6 Gb/s,Western Digital,,,WD10JQLX,,$0.103,7200,
693,,1 TB,Black,"2.5""",8.33,,SATA 6 Gb/s,Team,,,T253TR001T3C313,,$0.120,,
694,,120 GB,Green,M.2-2280,2.52,,M.2 (M),Mushkin,,,MKNSSDPL120GB-D8,,$0.397,,
695,,120 GB,,"2.5""",6.00,,SATA 6 Gb/s,ADATA,,,ASU655SS-120GT-C,,$0.167,,
696,,2 TB,,"2.5""",2.35,,SATA 6 Gb/s,Samsung,,,MZ-7KE2T0BW,,$0.425,,
697,,256 GB,,M.2-2280,2.05,,M.2 (M),Intel,,,SSDPEKKW256G7X1,,$0.488,,
698,8 MB,500 GB,,"2.5""",12.82,,SATA 3 Gb/s,Seagate,,,ST9500325AS,,$0.078,5400,
699,,480 GB,Green / Black,"2.5""",6.87,,SATA 6 Gb/s,ADATA,,,ASU650SS-480GT-C,,$0.146,,
700,32 MB,1 TB,,"3.5""",27.21,,SATA 3 Gb/s,Hitachi,A7K1000-1000,,HUA721010KLA330,,$0.037,7200,
701,,480 GB,,"2.5""",3.43,,SATA 6 Gb/s,ADATA,,,ASP550SS3-480GM-C,,$0.291,,
702,,256 GB,Black,M.2-2280,5.69,,M.2 (M),ADATA,,,ASX6000PNP-256GT-C,,$0.176,,
703,,240 GB,,"2.5""",3.66,,SATA 6 Gb/s,Kingston,,,SUV400S37/240G,,$0.273,,
704,,240 GB,,M.2-2280,3.11,,M.2 (M),Corsair,,,CSSD-F240GBMP500,,$0.322,,
705,128 MB,4 TB,,"3.5""",26.27,,SATA 6 Gb/s,Toshiba,,,HDWE140EZSTA,,$0.038,7200,
706,64 MB,2 TB,,"3.5""",26.67,,SATA 6 Gb/s,Toshiba,,,HDKPC09,,$0.037,7200,
707,256 MB,8 TB,,"3.5""",32.01,,SATA 6 Gb/s,Western Digital,,,WD80EFAX,,$0.031,5400,
708,128 MB,4 TB,,"3.5""",23.68,,SATA 6 Gb/s,Seagate,,,ST4000DM006,,$0.042,7200,
709,64 MB,1 TB,,"3.5""",20.01,,SATA 6 Gb/s,Western Digital,,,WDBH2D0010HNC-NRSN,,$0.050,7200,
710,,240 GB,Gold,"2.5""",6.88,,SATA 6 Gb/s,Team,,,T253TD240G3C101,,$0.145,,
711,64 MB,2 TB,,"3.5""",25.03,,SATA 6 Gb/s,Seagate,,,ST2000VN004,,$0.040,5900,
712,,250 GB,,"2.5""",1.92,,SATA 6 Gb/s,Samsung,,TLC (toggle),MZ-7TE250BW,,$0.520,,Samsung MEX
713,,800 GB,,PCI-E,1.39,,PCI-Express x1,Corsair,,,CSSD-N800GBNX500,,$0.719,,
714,,128 GB,,"2.5""",3.38,,SATA 6 Gb/s,Transcend,,,TS128GSSD370S,,$0.296,,
715,128 MB,4 TB,,"3.5""",26.67,,SATA 6 Gb/s,Seagate,,,ST4000NE0025,,$0.037,7200,
716,128 MB,6 TB,,"3.5""",30.07,,SATA 6 Gb/s,Western Digital,,,WD6001FSYZ,,$0.033,7200,
717,64 MB,3 TB,,"3.5""",35.48,,SATA 6 Gb/s,Western Digital,,,WD30EZRZ,,$0.028,5400,
718,,480 GB,Black,M.2-2280,5.79,,M.2 (B+M),Kingston,,,SA1000M8/480G,,$0.173,,
719,,180 GB,,"2.5""",1.03,,SATA 6 Gb/s,Intel,,MLC (synchronous),SSDSC2CW180A310,,$0.967,,Sandforce SF-2281
720,,480 GB,Black / Silver,"2.5""",9.60,,SATA 6 Gb/s,TCSunBow,,,X3 480GB-1,,$0.104,,
721,256 MB,12 TB,,"3.5""",33.43,,SATA 6 Gb/s,Seagate,,,ST12000NM0007,,$0.030,7200,
722,64 MB,500 GB,,"3.5""",7.83,,SATA 6 Gb/s,Western Digital,,,WD5003AZEX,,$0.128,7200,
723,16 MB,250 GB,,"2.5""",7.81,,SATA 3 Gb/s,Samsung,,,HM250HJ,,$0.128,7200,
724,,128 GB,Black,"2.5""",3.16,,SATA 6 Gb/s,Intenso,,,3812430,,$0.316,,
725,64 MB,4 TB,,"3.5""",47.06,,SATA 6 Gb/s,Western Digital,,,WD40EZRZ,,$0.021,5400,
726,,2 TB,,"2.5""",8.33,,SATA 6 Gb/s,SanDisk,,,SDSSDH3-2T00-G25,,$0.120,,
727,,800 GB,,PCI-E,1.04,,PCI-Express x4,Intel,,,SSDPEDMW800G4X1,,$0.964,,
728,,1 TB,,M.2-2280,6.67,,M.2 (M),Plextor,,,PX-1TM9PeGN,,$0.150,,
729,,480 GB,,"2.5""",9.60,,SATA 6 Gb/s,ADATA,,,ASU655SS-480GT-C,,$0.104,,
730,,960 GB,Black,"2.5""",4.68,,SATA 6 Gb/s,Kingston,,,SHFR200B/960G,,$0.214,,
731,256 MB,12 TB,,"3.5""",29.03,,SATA 6 Gb/s,Seagate,,,ST12000NE0007,,$0.034,7200,
732,,120 GB,Green / Black,"2.5""",4.01,,SATA 6 Gb/s,ADATA,,,ASU650SS-120GT-C,,$0.249,,
733,128 MB,2 TB,Silver,"3.5""",18.18,,SATA 6 Gb/s,Seagate,,,ST2000NE0025,,$0.055,7200,
734,256 MB,4 TB,,"3.5""",24.24,,SATA 6 Gb/s,Western Digital,,,WD4005FZBX,,$0.041,7200,
735,,120 GB,,"2.5""",6.32,,SATA 6 Gb/s,Patriot,,,PBU120GS25SSDR,,$0.158,,
736,32 MB,500 GB,,"3.5""",9.83,,SATA 6 Gb/s,Toshiba,,,DT01ACA050,,$0.102,7200,
737,,256 GB,,"2.5""",3.61,,SATA 6 Gb/s,Transcend,,,TS256GSSD370S,,$0.277,,
738,,500 GB,,M.2-2280,7.71,,M.2 (B+M),Western Digital,,,WDS500G2B0B,,$0.130,,
739,32 MB,750 GB,,"3.5""",15.00,,SATA 3 Gb/s,Seagate,,,ST3750528AS,,$0.067,7200,
740,,240 GB,,"2.5""",5.35,,SATA 6 Gb/s,PNY,,,SSD7CS1311-240-RB,,$0.187,,
741,,240 GB,Blue / Black,M.2-2280,7.83,,M.2 (B+M),Kingston,,,SA400M8/240G,,$0.128,,
742,128 MB,4 TB,,"3.5""",19.61,,SATA 6 Gb/s,Seagate,,,ST4000NM0024,,$0.051,7200,
743,,2 TB,,"2.5""",25.00,8.59 GB,SATA 6 Gb/s,Seagate,,,ST2000LX001,,$0.040,5400,
744,,512 GB,Blue,M.2-2280,7.76,,M.2 (B+M),Patriot,,,PS512GPM280SSDR,,$0.129,,
745,128 MB,2 TB,,"2.5""",23.56,,SATA 6 Gb/s,Seagate,,,ST2000LM015,,$0.042,5400,
746,,480 GB,,"2.5""",9.60,,SATA 6 Gb/s,Inland,,,480 GB SSD,,$0.104,,
747,1 GB,1 TB,,M.2-2280,2.60,,M.2 (M),Samsung,,3D V-NAND,MZ-V6P1T0BW / MZ-V6P1T0,,$0.385,,
748,256 MB,8 TB,,"3.5""",29.35,,SATA 6 Gb/s,Seagate,,,ST8000DM0004,,$0.034,7200,
749,,512 GB,,M.2-2280,5.70,,M.2 (B+M),ADATA,,,ASU800NS38-512GT-C,,$0.176,,
750,,512 GB,,"2.5""",2.14,,SATA 6 Gb/s,Samsung,,3D V-NAND,MZ-7KE512BW,,$0.467,,Samsung MEX
751,256 MB,14 TB,,"3.5""",28.00,,SATA 6 Gb/s,Toshiba,,,HDWG21EXZSTA,,$0.036,7200,
752,64 MB,500 GB,,"3.5""",11.94,,SATA 6 Gb/s,Toshiba,,,HDWD105XZSTA,,$0.084,7200,
753,256 MB,10 TB,,"3.5""",32.95,,SATA 6 Gb/s,Seagate,,,ST10000NM0016,,$0.030,7200,
754,,1 TB,,"2.5""",10.53,,SATA 6 Gb/s,Silicon Power,,,SP001TBSS3A55S25,,$0.095,,
755,32 MB,1.5 TB,,"3.5""",27.28,,SATA 3 Gb/s,Seagate,,,ST31500341AS,,$0.037,7200,
756,128 MB,6 TB,,"3.5""",21.87,,SATA 6 Gb/s,Western Digital,,,WD6002FZWX,,$0.046,7200,
757,,2 TB,,"2.5""",7.75,,SATA 6 Gb/s,Samsung,,,MZ-76Q2T0B/AM / MZ-76Q2T0BW,,$0.129,,
758,,32 GB,,M.2-2280,2.13,,M.2 (B+M),Transcend,,MLC (synchronous),TS32GMTS800,,$0.468,,Silicon Motion
759,,250 GB,,M.2-2280,3.85,,M.2 (M),Western Digital,,,WDS250G2X0C,,$0.260,,
760,256 MB,14 TB,,"3.5""",28.57,,SATA 6 Gb/s,Toshiba,,,HDWR21EXZSTA,,$0.035,7200,
761,32 MB,1 TB,,"3.5""",13.34,,SATA 3 Gb/s,Samsung,,,HD103SJ,,$0.075,7200,
762,64 MB,1.5 TB,,"3.5""",25.00,,SATA 6 Gb/s,Seagate,,,ST1500DL003,,$0.040,5900,
763,,960 GB,Black,"2.5""",6.00,,SATA 6 Gb/s,Kingston,,,SHFR200/960G,,$0.167,,
764,64 MB,4 TB,,"3.5""",54.14,,SATA 6 Gb/s,Seagate,,,ST4000NC001,,$0.018,5900,
765,512 MB,250 GB,Black,"2.5""",4.37,,SATA 6 Gb/s,Samsung,,,MZ-76E250B/AM / MZ-76E250B/EU,,$0.229,,
766,256 MB,6 TB,,"3.5""",30.00,,SATA 6 Gb/s,Seagate,,,ST6000NE0021,,$0.033,7200,
767,,128 GB,Blue,M.2-2280,4.00,,M.2 (B+M),Patriot,,,PS128GPM280SSDR,,$0.250,,
768,256 MB,6 TB,,"3.5""",29.27,,SATA 6 Gb/s,Western Digital,,,WD6003FFBX,,$0.034,7200,
769,8 MB,250 GB,,"3.5""",8.06,,SATA 3 Gb/s,Western Digital,,,WD2500AAJS,,$0.124,7200,
770,64 MB,4 TB,,"3.5""",35.72,,SATA 6 Gb/s,Western Digital,,,WD40PURZ,,$0.028,5400,
771,512 MB,256 GB,Silver,"2.5""",6.40,,SATA 6 Gb/s,Plextor,,,PX-256M8VC,,$0.156,,
772,,1 TB,,M.2-2280,5.41,,M.2 (M),Intel,,,SSDPEKKW010T8X1,,$0.185,,
773,64 MB,2 TB,,"3.5""",34.19,,SATA 6 Gb/s,Western Digital,,,WD2000FYYZ,,$0.029,7200,
774,8 MB,40 GB,,"2.5""",2.00,,SATA 3 Gb/s,Seagate,,,ST940818SM,,$0.500,5400,
775,,120 GB,,"2.5""",1.08,,SATA 6 Gb/s,Samsung,,,MZ-75E120B/AM / MZ-75E120B/EU / MZ-75E120BW/EU / MZ-75E120BW,,$0.924,,
776,,1.6 TB,,"2.5""",1.99,,PCI-Express x4,Intel,,,SSDPE2ME016T401,,$0.502,,
777,512 MB,250 GB,Black,M.2-2280,2.51,,M.2 (M),Samsung,,,MZ-V7E250BW,,$0.399,,
778,64 MB,3 TB,,"3.5""",40.01,,SATA 6 Gb/s,Seagate,,,ST3000DM008,,$0.025,7200,
779,128 MB,1 TB,,"3.5""",25.01,,SATA 6 Gb/s,Seagate,,,ST1000NM0033,,$0.040,7200,
780,,500 GB,,"2.5""",5.56,,SATA 6 Gb/s,Crucial,,,CT500MX200SSD1,,$0.180,,
781,32 MB,750 GB,,"3.5""",21.43,,SATA 3 Gb/s,Hitachi,A7K1000-750,,HUA721075KLA330,,$0.047,7200,
782,8 MB,320 GB,,"3.5""",16.75,,SATA 3 Gb/s,Western Digital,,,WD3200AAJS,,$0.060,7200,
783,,128 GB,,M.2-2280,4.20,,M.2 (M),ADATA,,,ASX6000NP-128GT-C,,$0.238,,
784,64 MB,1 TB,,"3.5""",22.28,,SATA 6 Gb/s,Seagate,,,ST1000DM010,,$0.045,7200,
785,32 MB,1 TB,,"3.5""",17.09,,SATA 6 Gb/s,Toshiba,,,HDKPC03,,$0.058,7200,
786,,512 GB,Green / Black,M.2-2280,7.94,,M.2 (B+M),Plextor,,,PX-512S2G,,$0.126,,
787,512 MB,500 GB,,"2.5""",3.57,,SATA 6 Gb/s,Samsung,,,MZ-750500BW,,$0.280,,Samsung MGX
788,256 MB,10 TB,,"3.5""",27.78,,SATA 6 Gb/s,Western Digital,,,WD101KFBX,,$0.036,7200,
789,128 MB,2 TB,,"2.5""",28.78,,SATA 6 Gb/s,Seagate,,,ST2000LM007,,$0.035,5400,
790,,256 GB,,"2.5""",4.28,,SATA 6 Gb/s,Silicon Power,,,SU256GBSS3A55S25AE,,$0.234,,
791,8 MB,500 GB,,"2.5""",14.97,,SATA 3 Gb/s,Toshiba,,,MQ01ABD050,,$0.067,5400,
792,2 GB,2 TB,,"2.5""",8.00,,SATA 6 Gb/s,Crucial,,,CT2000MX500SSD1,,$0.125,,
793,64 MB,2 TB,,"3.5""",28.58,,SATA 6 Gb/s,Western Digital,,,WDBH2D0020HNC-NRSN,,$0.035,5900,
794,,2 TB,Black,"2.5""",9.22,,SATA 6 Gb/s,ADATA,,,ASU800SS-2TT-C,,$0.108,,
795,,128 GB,,"2.5""",1.22,,SATA 6 Gb/s,Crucial,,MLC (synchronous),CT128M550SSD1,True,$0.820,,Marvell 9189
796,,500 GB,,M.2-2280,7.15,,M.2 (B+M),Crucial,,,CT500MX500SSD4,,$0.140,,
797,8 MB,1 TB,,"2.5""",18.19,,SATA 6 Gb/s,Western Digital,,,WD10JPVX,,$0.055,5400,
