,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
443,,,,,CoolMax,,Semi,"+3.3V@28A, +5V@28A, +12V1@18A, +12V2@16A, +12V3@16A, -12V@0.5A, +5VSB@3.0A",,2,,CU-700B,ATX12V / EPS12V,700 W
444,,> 90%,80+ Platinum,,be quiet!,,Semi,1000W,8,1,,BN254 / BN654,ATX,1000 W
445,,,80+ Titanium,,Enermax,,Full,,6,,,EMT800EWT,ATX,800 W
446,,,80+ Gold,,EVGA,210-GQ-0650-V1,Semi,,4,,,210-GQ-0650 / 210-GQ-0650-V1,ATX,650 W
447,Black / Yellow,,80+ Gold,,Silverstone,,False,,4,,,SST-ET750-G,ATX,750 W
448,Black,,80+ Platinum,,Cooler Master,V850 Platinum,Full,,6,,,MPZ-8501-AFBAPV-US,ATX,850 W
449,,< 85%,,,Raidmax,,Semi,"+3.3V@25A, +5V@25A, +12V1@22A, +12V2@22A,, -12V@0.5A, +5VSB@2.0A",1,1,,RX-630SS,ATX12V / EPS12V,630 W
450,,87-92% efficiency @ 20-100% load,80+ Gold,,Thermaltake,,Semi,,8,,,PS-TPD-1200MPCGUS-1,ATX12V / EPS12V,1200 W
451,,> 90%,80+ Gold,,LEPA,,Full,"+3.3V@25A, +5V@25A, +12V1@20A, +12V2@20A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, -12V@0.5A, +5Vsb@4A",10,,,G1600-MA,ATX12V / EPS12V,1600 W
452,,,80+ Gold,,Enermax,,Semi,,4,,,ERX750AWT,ATX,750 W
453,,85%,80+ Bronze,,PC Power & Cooling,,Semi,"+3.3V@24A, +5V@24A, +12V@38A, -12V@0.8A, +5VSB@2.5A",2,,,PPCMK3S500,ATX12V,500 W
454,Black,,80+ Platinum,,EVGA,,Semi,,8,,,210-PQ-0850-X1,ATX,850 W
455,,up to 78%,,,Raidmax,,False,"+3.3V@16A, +5V@16A, +12V1@28A, -12V@0.5A ,5VSB@2.5A",,1,,RX-400XT,ATX12V / EPS12V,400 W
456,,87-90%,80+ Gold,,Silverstone,,Full,"+3.3V@19A, +5V@14A, +12V@37A, +5VSB@2.5A, -12V@0.3A",1,1,,ST45SF-G / SST-ST45SF-G,SFX12V,450 W
457,Black / Gold,,80+ Gold,,Raidmax,,Semi,,6,,,RX-1200AE-B,ATX,1200 W
458,,85% Efficiency,80+ Bronze,,EVGA,,Full,"+3.3V@24A, +5V@24A, +12V@62.4A, +5Vsb@3A, -12V@0.5A",4,,,220-B3-0750-V1,ATX,750 W
459,,87-92%,80+ Gold,,Rosewill,,False,"+3.3V@24A,+5V@24A,+12V@62A,-12V@0.5A,+5VSB@3A",4,,,CAPSTONE-750,ATX12V / EPS12V,750 W
460,Black,,80+ Gold,,SeaSonic,PRIME Ultra Gold 550,Full,,2,,,SSR-550GD2,ATX,550 W
461,,85%~89%@20% to 100% loading (115Vac)<br/>88%~91%@20% to 100% loading (230Vac),80+ Silver,,Silverstone,,Full,"+3.3V@25A, +5V@25A, +12V1@30A, +12V2@30A, +12V3@30A, +12V4@30A, +12V5@30A, +12V6@30A, +5VSB@4A, -12V@0.5A",8,,,ZM1350 / SST-ZM1350,ATX12V / EPS12V,1350 W
462,,92% (115VAC) / 94% (220VAC~240VAC) or Higher Typical,80+ Platinum,,EVGA,SuperNOVA 650,Full,"+3.3V@20A, +5V@20A, +12V@54.1A, +5VSB@2.5A, -12V@0.5A",2,2,,220-P2-0650-X1,ATX12V / EPS12V,650 W
463,,,,,Enermax,,False,"+3.3V@22A, +5V@18A, +12V1@21A, +12V2@18A, -12V@0.3A, +5VSB@2.5A",1,1,,ENP450AST,ATX12V,450 W
464,Black,,80+ Gold,,G.Skill,PS750G,Full,,4,,,GP-GD750A-CWV1,ATX,750 W
465,,Up to 94%,80+ Titanium,,Thermaltake,,Full,"+3.3V@20A, +5V@20A, +12V@104A, -12V@0.3A, +5VSB@3.0A",4,,4,PS-TPI-1250DPCTUS-T,ATX,1250 W
466,Black,,80+ Gold,,Thermaltake,Toughpower Grand RGB 650 SE,Full,,4,,,PS-TPG-0650FPCGUS-S,ATX,650 W
467,,,80+ Bronze,,SeaSonic,,False,,,,,SSP-350ST,ATX12V,350 W
468,,,80+ Gold,,Corsair,TX750M Gold,Semi,"+3.3V@25A, +5V@25A, +12V@62A, -12V@0.8A, +5TX-MB@3A",4,,,CP-9020131-NA / CP-9020131-UK,ATX,750 W
469,,,80+,,Cooler Master,MasterWatt Lite 600W Full Range,False,,2,,,MPX-6001-ACAAW / MPX-6001-ACAAW-AU / MPX-6001-ACAAW-EU / MPX-6001-ACAAW-JP / MPX-6001-ACAAW-KR / MPX-6001-ACAAW-TW / MPX-6001-ACAAW-US / MPX-6001-ACAAW-WO / MPX-6001-ACAAW-BR / MPX-6001-ACAAW-UK / MPX-6001-ACAAW-BU / MPX-6001-ACAAW-CN,ATX,600 W
470,,,80+ Platinum,,SeaSonic,,Full,"+3.3V@20A, +5V@20A, +12V@45A, -12V@0.3A, +5VSB@3.0A",2,,,SSR-550PX,ATX,550 W
471,,,80+ Platinum,,Corsair,HX1200i,Full,,6,,,CP-9020070-NA / CP-9020070-UK / HX1200i / CP-9020070-EU / CP-9020070,ATX,1200 W
472,Black,,80+ Gold,,EVGA,,Full,,4,,,123-GM-0650-Y1,SFX12V,650 W
473,,,,,Rosewill,,False,"+3.3V@20A, +5V@14A, +12V1@14A, +12V2@13A, -12V@0.3A, +5VSB@2.5A",,1,,RD400-2-SB,ATX12V,400 W
474,,< 90%,80+ Gold,,Zalman,,Semi,,4,,,zm-650-XG,ATX12V / EPS12V,650 W
475,Black,,80+ Platinum,,Asus,ROG Thor 1200P,Full,,8,,,ROG-THOR-1200P,ATX,1200 W
476,,,80+ Platinum,,PC Power & Cooling,,Full,,8,,,FPS1200-A5M00,ATX,1200 W
477,,,80+ Gold,,Cougar,,False,,4,,,GX-S750,ATX,750 W
478,,,80+,,Antec,,False,,2,,,VP650 Plus,ATX,650 W
479,,,80+ Platinum,,be quiet!,,Semi,,8,1,,BN255 / BN655,ATX,1200 W
480,Black,,80+ Platinum,,Cooler Master,V1000 Platinum,Full,,8,,,MPZ-A001-AFBAPV-US,ATX,1000 W
481,,,80+ Gold,,SeaSonic,,Full,"+3.3V@20A, +5V@20A, +12V@52A, -12V@0.3A, +5VSB@3A",4,,,SSR-650GD,ATX,650 W
482,,82-87%,80+ Bronze,,Rosewill,,Semi,"+3.3V@22A,+5V@22A,+12V@54A,-12V@0.3A,+5VSB@3A",4,,,Hive-750,ATX12V / EPS12V,750 W
483,,,80+ Gold,,Corsair,TX850M Gold,Semi,"+3.3V@25A, +5V@25A, +12V@70.8A, -12V@0.8A, +5TX-MB@3A",4,,,CP-9020130-NA / CP-9020130-UK,ATX,850 W
484,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@25A, +5V@25A, +12V@45A, -12V@0.8A, +5VSB@3A",2,,,TX550M,ATX12V / EPS12V,550 W
485,,,,,LEPA,,False,"+3.3V@25A, +5V@20A, +12V@34A, -12V@0.8A, +5VSB@3A",1,1,,N500-SA,ATX12V,500 W
486,,,80+ Gold,,Corsair,SF600,Full,,4,,,CP-9020105-NA / CP-9020105-AU / SF600 / CP-9020105-UK / CP-9020105-EU,SFX12V,600 W
487,,,80+ Bronze,,Fractal Design,,Semi,,2,,,FD-PSU-IN3B-750W,ATX,750 W
488,,,80+ Bronze,,Corsair,CX550 (2017),False,,2,,,CP-9020121-NA,ATX,550 W
489,Black,,80+ Gold,,Corsair,RM850x (2018),Full,,6,,,CP-9020180-NA,ATX,850 W
490,,90 - 94% at 10 - 100% loading,80+ Titanium,,Silverstone,,Full,"+3.3V@16A, +5V@15A, +12V1@66A, +5VSB@2.5A, -12V@0.3A",4,,,SST-SX800-LTI / SX800-LTI,SFX12V,800 W
491,,"> 82%, Up to 87%",80+ Bronze,,Rosewill,,Semi,"+3.3V@23A,+5V@23A,+12V@83.4A,-12V@0.5A,+5VSB@3A",6,,,HIVE-1000S,ATX12V / EPS12V,1000 W
492,Black,,80+ Bronze,,Raidmax,,Semi,,2,,,RX-535AP-R,ATX,535 W
493,,,80+ Gold,,SeaSonic,,Semi,,2,,,SSR-450FM,ATX,450 W
494,Black,,80+ Gold,,SeaSonic,,Full,,6,,,SSR-1000FX,ATX,1000 W
495,,,,,Thermaltake,,False,"+3.3V@23A, +5V@17A, +12V@48A, -12V@0.5A, +5VSB@2.5A",2,,,PS-LTP-0650NPCNUS-F,ATX,650 W
496,,,80+ Gold,,Cooler Master,V550,Full,,2,,,RS550-AFBAG1-US,ATX,550 W
497,,> 92%,80+ Platinum,,FSP Group,,Semi,16A @ +3.3V DC<br/>18A @ +5V DC<br/>18A @ +12V1 DC<br/>18A @ +12V2 DC<br/>18A @ +12V3 DC<br/>18A @ +12V4 DC<br/>0.3A @ -12V DC<br/>3.0A @ +5Vsb DC Standby,2,,,PT-650M,ATX12V / EPS12V,650 W
498,,,80+ Bronze,,Thermaltake,,Semi,,2,,2,SP-650M,ATX12V / EPS12V,650 W
499,Black / Blue,,80+ Platinum,True,Silverstone,NJ450-SXL,Full,,4,,,SST-NJ450-SXL,SFX12V,450 W
500,,80% Efficiency,80+,,Thermaltake,,False,"+3.3V@20A, +5V@15A, +12V@35A, -12V@0.5A, +5VSB@2.5A",2,,,PS-SPD-0500NPCWUS-W,ATX12V / EPS12V,500 W
501,,90% (115VAC) / 92% (220VAC~240VAC) or Higher Typical,80+ Gold,,EVGA,SuperNOVA 850,Full,"+3.3V@25A, +5V@25A, +12V@70A, +5VSB@3A, -12V@0.5A",8,,,220-GS-0850-V1,ATX12V / EPS12V,850 W
502,,87%~90% at 20%~100% loading,80+ Gold,,Silverstone,,Full,"+3.3V@22A, +5V@20A, +12V@54A, -12V@0.3A, +5VSB@2.5A",2,2,,ST65F-G / SST-ST65F-G,ATX12V / EPS12V,650 W
503,,,,,Apevia,APEVIA ATX-WR680W 680W ATX12V v2.3 SLI CrossFire Active PFC Power Supply,Semi,"+3.3V@17A, +5V@16A, +12V@51A, -12V@0.3A, +5Vsb@2.5A",2,,,ATX-WR680W,ATX12V,680 W
504,Black,,80+ Gold,,EVGA,,Full,,4,,,123-GM-0550-Y1,SFX12V,550 W
505,,"Up to 90% efficiency at 115Vac, 50% load",80+ Gold,,SeaSonic,,False,"+3.3V@20A, +5V@20A, +12V1@37A, +12V2@37A, -12V@0.3A, +5VSB@2.5A",2,,,SSP-450RT,ATX12V,450 W
506,Black,,80+ Gold,,be quiet!,,Semi,,2,,,BN297 / BN628,ATX,500 W
507,,,80+ Bronze,,Apevia,,False,"+3.3V@20A, +5V@20A, +12V@74A, -12V@0.3A, +5Vsb@2.5A",4,,,ATX-JP1000W,ATX12V,1000 W
508,,,80+ Platinum,,SeaSonic,,Full,"+3.3V@20A, +5V@20A, +12V@54A, -12V@0.3A, +5VSB@3.0A",4,,,SSR-650PX,ATX,650 W
509,,,,,Logisys,,False,"+3.3V@30A, +5V@38A, +12V@25A, -12V@0.8A, +5VSB@2.0A",,,,PS550E12,ATX12V,550 W
510,Black,,80+ Titanium,,Raidmax,,Semi,,4,,,RX-700AT,ATX,700 W
511,,85% Efficiency,80+ Bronze,,EVGA,,Full,"+3.3V@20A, +5V@20A, +12V@45.8A, +5Vsb@3A, -12V@0.5A",2,,,220-B3-0550-V1 / 220-B3-0550-V3,ATX,550 W
512,,85-88%,80+ Silver,,Silverstone,,False,"+3.3V@40A, +5V@40A, +12V1@25A, +12V2@25A, +12V3@25A, +12V4@25A, +12V5@25A, +12V6@25A, +12V7@25A",4,4,,ST1500 / SST-ST1500,ATX12V / EPS12V,1500 W
513,,90% (115VAC) / 92% (220VAC~240VAC) or Higher Typical,80+ Gold,,EVGA,SuperNOVA 650,Full,"+3.3V@20A, +5V@20A, +12V@54A, +5VSB@2.5A, -12V@0.3A",4,,,220-GS-0650-V1,ATX12V / EPS12V,650 W
514,,90%,80+ Gold,,Corsair,,Semi,"+3.3V@25A, +5V25A, +12V@60A, -12V@0.8A, +5VSB@3A",4,,,HX750 / CP-9020031-NA / CP-9020031-AU,ATX12V / EPS12V,750 W
515,,,80+ Gold,,FSP Group,,Full,,4,,,HG750,ATX12V / EPS12V,750 W
516,,,80+ Gold,,Corsair,RM650i,Full,,4,,,CP-9020081-NA / CP-9020081-UK / CP-9020081-EU,ATX,650 W
517,White,,80+ Titanium,,SeaSonic,,Full,,4,,,SSR-750TR-SNOWSILENT / PRIME Snow Silent 750,ATX,750 W
518,White / Black,,80+ Gold,,Corsair,,Full,,6,,,CP-9020188-NA,ATX,850 W
519,,< 85%,80+ Bronze,,Corsair,CX750,False,"+3.3V@25A, +5V@25A, +12V@62A, -12V@0.8A, +5VSB@3A",4,,,CP-9020015-NA / CP-9020015-UK / CP-9020015-AU / CP-9020015-EU,ATX12V / EPS12V,750 W
520,,,80+ Gold,,Cougar,,False,,2,,,GX-S550,ATX,550 W
521,,> 85%,80+ Gold,,Rosewill,,Semi,"+3.3V@25A,+5V@25A,+12V@83A,-12V@0.3A,+5VSB@3.5A",8,,,Capstone G1000,ATX12V / EPS12V,1000 W
522,Black,,80+ Gold,,Antec,EARTHWATTS GOLD PRO 550,Semi,,2,,,EA550G Pro,ATX,550 W
523,,,80+ Gold,,SeaSonic,,Full,,4,,,SS-650KM3 / SS-650KM3 F3 / X-650 / X650 Gold (SS-650KM3 Active PFC),ATX,650 W
524,,Up to 92%,80+ Gold,,Rosewill,,Full,"+3.3V@25A,+5V@25A,+12V@100A,-12V@0.3A,+5VSB@4A",8,,,PHOTON-1200,ATX12V / EPS12V,1200 W
525,,,,,CoolMax,,False,"+3.3V@22A, +5V@25A, +12V@16A, -12V@0.3A, +5VSB@2A",,,,CM-300,Micro ATX,300 W
526,,87%~90% at 20%~100% loading,80+ Gold,,Silverstone,,Full,"+3.3V@22A, +5V@25A, +12V1@70A, +5VSB@3.5A, -12V@0.3A",4,,,ST75F-GS / SST-ST75F-GS,ATX,750 W
527,,> 72%,,,Thermaltake,,False,"+3.3V@22A, +5V@18A, +12V1@23A, +12V2@20A, -12V@0.3A, +5VSB@2.5A",1,1,,TR-600,ATX12V,600 W
528,,< 92%,80+ Gold,,Corsair,,Full,,6,,,RM850 / CP-9020056-UK / CP-9020056-NA / CP-9020056-EU,ATX12V / EPS12V,850 W
529,,,,,Rosewill,,False,"+3.3V@22A, +5V@16A, +12V1@15A, +12V2@16A, -12V@0.8A, +5VSB@2.5A",,1,,RD500-2SB,ATX12V,500 W
530,,,,,EVGA,,False,,2,,,100-N1-0750-L1,ATX,750 W
531,,85% Typical,80+ Bronze,,EVGA,,False,"+3.3V@18A, +5V@18A, +12V@35A, +5Vsb@2.5A, -12V@0.3A",2,,,100-BT-0450-K1,ATX,450 W
532,,,80+ Gold,,Corsair,RM850x White,Full,"+3.3V@25A, +5V@25A, +12V@70.8A, -12V@0.8A, +5Vsb@3A",6,,,CP-9020156-NA / CP-9020156-UK / CP-9020156-EU / CP-9020156-AU / CP-9020156-CN / CP-9020156-JP / CP-9020156-KR / CP-9020156-WW / CP-9020156-TW,ATX,850 W
533,Black,,80+ Bronze,,Silverstone,,False,,1,1,,ST45SF-V3,SFX12V,450 W
534,,82-87%,80+ Bronze,,Rosewill,,Semi,"+3.3V@22A,+5V@22A,+12V@38A,-12V@0.3A,+5VSB@3A",2,,,Hive-550,ATX12V / EPS12V,550 W
535,Black,,80+ Gold,,be quiet!,,Semi,,4,,,BN299 / BN630,ATX,700 W
536,Black,,80+ Bronze,,SeaSonic,,False,,2,,,SSR-450GB3,ATX,450 W
537,,82%~85% at 20%~100% loading,80+ Bronze,,Silverstone,,False,"+3.3V@20A, +5V@20A, +12V@37.5A, +5VSB@2.5A, -12V@0.3A",1,1,,ST50F-ESB,ATX12V,500 W
538,Black / Silver,,80+ Titanium,,Corsair,,Full,,6,,,CP-9020151-NA / CP-9020151-UK,ATX,850 W
539,,85%,80+ Bronze,,Thermaltake,,Full,"+3.3V@22A, +5V@22A, +12V@54.2A, -12V@0.3A, +5VSB@2.5A",4,,,PS-SPR-0650FPCBUS-R,ATX,650 W
540,White,,80+ Gold,,SeaSonic,,Full,,2,,,SSR-550GD2-SNOWSILENT / PRIME Snow Silent 550,ATX,550 W
541,Black,,80+ Gold,,EVGA,,Full,,2,,,123-GM-0450-Y1,SFX12V,450 W
542,,< 87%,80+ Bronze,,Antec,,Semi,"+5V@24A, +3.3V@24A, +12V@40A, -12V@0.8A, +5VSB@2.5A",2,,,HCG-520M,ATX12V / EPS12V,520 W
543,,,80+ Titanium,,Silverstone,,Full,,4,,,ST70F-TI / PS-ST70F-TI / SST-ST70F-TI,ATX,700 W
544,,,80+,,Cooler Master,MasterWatt Lite 500W Full Range,False,,2,,,MPX-5001-ACAAW / MPX-5001-ACAAW-AU / MPX-5001-ACAAW-EU / MPX-5001-ACAAW-JP / MPX-5001-ACAAW-KR / MPX-5001-ACAAW-TW / MPX-5001-ACAAW-US / MPX-5001-ACAAW-WO / MPX-5001-ACAAW-BR / MPX-5001-ACAAW-UK / MPX-5001-ACAAW-BU / MPX-5001-ACAAW-CN,ATX,500 W
545,Black,,80+ Gold,,be quiet!,,False,,4,,,BN902 / BN627,ATX,600 W
546,,> 85%,80+ Gold,,Rosewill,,Semi,"+3.3V@20A,+5V@18A,+12V@62A,-12V@0.3A,+5VSB@2.5A",4,,,Capstone G750,ATX12V / EPS12V,750 W
547,Black,,80+ Bronze,,SeaSonic,,False,,2,,,SSR-500GB3,ATX,500 W
548,,87-92% efficiency @ 20-100% load,80+ Gold,,Thermaltake,,Semi,,6,,,PS-TPD-1000MPCGUS-1,ATX12V / EPS12V,1000 W
549,,,80+ Gold,,Antec,,Full,,6,,,HCG850 Extreme,ATX,850 W
550,,,80+ Platinum,,Corsair,SF750,Full,,4,,,CP-9020186-NA / CP-9020186-EU,SFX12V,750 W
551,,> 85%,80+ Bronze,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@83A,-12V@0.5A,+5VSB@3A",6,,,Glacier 1000M,ATX12V / EPS12V,1000 W
552,,,,,Apevia,,False,,,,,ATX-VS450W,ATX,450 W
553,,> 85%,80+ Bronze,,CoolMax,,Semi,"+5V@30A, +3.3A@30A, +12V1@83A, -12V@0.8A, +5VSB@3A",2,2,,ZU-1000B,ATX12V / EPS12V,1000 W
554,Black,,80+ Platinum,,G.Skill,PS850P,Full,,6,,,GP-PL850A-CWV1,ATX,850 W
555,,,80+,,EVGA,,False,,1,,,100-W1-0430-KR,ATX12V / EPS12V,430 W
556,Black,,80+ Gold,,NZXT,E650,Full,,4,,,NP-1PM-E650A,ATX,650 W
557,,< 88%,80+ Bronze,,Antec,,Semi,"+3.3V@25A, +5V@25A, +12V1@40A, +12V2@40A, -12V@0.5A, +5Vsb@3A",4,,,HCG-850M,ATX12V / EPS12V,850 W
558,Black,,80+ Gold,,Rosewill,,Semi,,2,,,LEPTON 600,ATX,600 W
559,,,80+ Gold,,Silverstone,SX650-G,Full,,4,,,SST-SX650-G / SX650-G,SFX12V,650 W
560,,up to 91.18%,80+ Gold,,Raidmax,,Semi,"+3.3V@25A, +5V@25A, +12V1@60A, +12V2@60A, -12V@0.8A ,5VSB@3A",6,,,RX-1000GH,ATX12V / EPS12V,1000 W
561,,< 85%,80+ Bronze,,PC Power & Cooling,,Semi,"+3.3V@24A, +5V@24A, +12V@46A, -12V@0.8A, +5VSB@2.5A",2,,,PPCMK3S600,ATX12V,600 W
562,,,80+ Gold,,EVGA,SuperNOVA 1000,Full,"+3.3@20A, +5V@20A, +12V@83.3A, +5BSB@2.5A, -12V@0.5A",6,,,120-G2-1000-XR,ATX12V / EPS12V,1000 W
563,,90% (115VAC) / 92% (220VAC~240VAC) or Higher Typical,80+ Gold,,EVGA,SuperNOVA 550,Full,"+3.3V@22A, +5V@22A, +12V@45.8A, +5VSB@3.0A, -12V@0.5A",2,1,,220-G2-0550-Y1 / 220-G2-0550-Y3,ATX,550 W
564,Black,,80+ Gold,,Antec,,Full,,6,,,HCG850 Gold,ATX,850 W
565,,,80+ Titanium,,SeaSonic,,Full,,4,,,SSR-650TR,ATX,650 W
566,,,80+ Bronze,,Corsair,CX750 (2017),False,,4,,,CP-9020123-NA,ATX,750 W
567,,> 65%,,,Sparkle,,False,"+3.3V@28A, +5V@30A, -5V@0.3A, +12V@15A, -12V@0.8A, +5VSB@2A",,,,FSP300-60ATV,ATX,300 W
568,,> 85%,80+ Bronze,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@37A,-12V@0.3A,+5VSB@2.5A",2,,,Glacier 500M,ATX12V / EPS12V,500 W
569,,> 80%,80+,,Antec,,False,"+3.3V@25A, +5V@24A, +12V1@22A, +12V2@22A, -12V@0.8A, +5VSB@2.5A",1,1,,EA500D,ATX12V,500 W
570,Black,> 90%,80+ Gold,,Thermaltake,Toughpower SFX 600W Gold,Full,"+3.3V@20A, +5V@15A, +12V@50A, -12V@0.3A, +5VSB@2.5A",2,,,PS-STP-0600FPCGUS-G / PS-STP-0600FPCGEU-G / PS-STP-0600FPCGAU-G,SFX12V,600 W
571,Black / Red,,80+ Platinum,,Asus,ROG Thor 850,Full,,4,,,ROG-THOR-850P,ATX,850 W
572,,87-92%,80+ Gold,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@37A,-12V@0.5A,+5VSB@3A",2,,,CAPSTONE-450-M,ATX12V / EPS12V,450 W
573,,85%,80+ Bronze,,Thermaltake,,Full,"+3.3V@22A, +5V@22A, +12V@70.5A, -12V@0.5A, +5VSB@3A",4,,,PS-SPR-0850FPCBUS-R,ATX,850 W
574,,> 85%,80+ Bronze,,Rosewill,,Semi,"+3.3V@20A,+5V@20A,+12V@45A,-12V@0.3A,+5VSB@2.5A",2,,,Glacier 600M,ATX12V / EPS12V,600 W
575,,,80+ Bronze,,Corsair,CX450 (2017),False,,1,,,CP-9020120-NA,ATX,450 W
576,,85% @ Typical Load,80+ Bronze,,Cooler Master,,Semi,"+3.3V@22A, +5V@22A, +12@54.1A, -12V@0.3A, +5VSB@3A",4,,,MPX-6501-AMAAB-US,ATX12V,650 W
577,,,,,Solid Gear,,False,,2,2,,SDGR-900E,ATX,900 W
578,,,80+ Bronze,,Fractal Design,,Semi,,2,,,FD-PSU-IN3B-550W,ATX,550 W
579,,,80+ Gold,,Corsair,SF450,Full,,2,,,CP-9020104-NA / CP-9020104-AU / SF450 / CP-9020104-UK / CP-9020104-EU,SFX12V,450 W
580,,,80+ Bronze,,Fractal Design,,Semi,,2,,,FD-PSU-IN3B-650W,ATX,650 W
581,,87-92%,80+ Gold,,Rosewill,,False,"+3.3V@22A,+5V@22A,+12V@45.5A,-12V@0.5A,+5VSB@3A",3,,,CAPSTONE-550,ATX12V / EPS12V,550 W
582,,,80+ Bronze,,Silverstone,,False,,,1,,ST70F-ESB / SST-ST70F-ESB,ATX12V / EPS12V,700 W
583,,,80+ Platinum,,Corsair,HX1000 Platinum,Full,"+3.3V@25A, +5V@25A, +12V@83.3A, -12V@0.8A, +5HXB@3A",8,,,CP-9020139-NA / CP-9020139-WW / CP-9020139-UK / CP-9020139-EU / CP-9020139-AU / CP-9020139-CN / CP-9020139-JP / CP-9020139-KR,ATX,1000 W
584,,,80+ Titanium,,SeaSonic,,Full,,4,,,SSR-750TR,ATX,750 W
585,,,80+ Silver,,Athena Power,,False,+3.3V@18A    <br/>+5V@18A      <br/>+12V1@20A       <br/>+12V2@20A       <br/>-5V@0.5A        <br/>-12V@0.5A    <br/>+5V-SB@3.0A,2,,,AP-MFATX50P8,Flex ATX,500 W
586,,> 87% (Up to 92%),80+ Gold,,Rosewill,,Semi,"+3.3V@24A,+5V@24A,+12V@82A,-12V@0.5A,+5VSB@3A",6,,,CAPSTONE-1000-M,ATX12V / EPS12V,1000 W
587,,Up to 92%,80+ Gold,,Rosewill,,Full,"+3.3V@25A,+5V@25A,+12V@70.5A,-12V@0.3A,+5VSB@4A",6,,,PHOTON-850,ATX12V / EPS12V,850 W
588,,,80+ Silver,,be quiet!,,Semi,,4,,,BN278 / BN678,ATX,600 W
589,,,80+ Gold,,SeaSonic,,Semi,,2,,,SSR-650FM,ATX,650 W
590,,,,,Corsair,VS550,False,,2,,,CP-9020050-WW / CMPSU-VS550,ATX12V / EPS12V,550 W
591,,> 90%,80+ Gold,,Cooler Master,,Full,"+3.3V@25A, +5V@25A, +12V@70A, -12V@0.5A, +5Vsb@3A",6,,,RS850-AFBAG1-US / RS850-AFBAG1-AU,ATX12V / EPS12V,850 W
