,Boost Clock,Chipset,Color,Core Clock,CrossFire Support,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DisplayPort,Fan,HDMI,Interface,Length,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Part Number,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,VirtualLink
107,1.815 GHz,GeForce RTX 2080,Black,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"292.1 mm / 11.5""",PNY,8 GB,GDDR6,,,,VCG20808DFPPB-O-B,,True,,True,215 W,,,1
108,1.809 GHz,GeForce GTX 1060 3GB,White,1.594 GHz,False,1,,,2,True,2,PCI-Express x16,"242 mm / 9.528""",Asus,3 GB,GDDR5,,,,DUAL-GTX1060-O3G / 90YV09X3-M0NA00,,False,,True,120 W,,,
109,1.68 GHz,GeForce RTX 2060,Silver / Black,1.365 GHz,False,,,,3,True,1,PCI-Express x16,"209.6 mm / 8.252""",Zotac,6 GB,GDDR6,,,,ZT-T20600F-10M,,False,,True,160 W,,,
110,1.755 GHz,GeForce RTX 2080 Ti,Black,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"327 mm / 12.874""",MSI,11 GB,GDDR6,,,,RTX 2080 TI GAMING X TRIO / GEFORCE RTX 2080 TI GAMING X TRIO,,True,,True,250 W,,,1
111,1.531 GHz,Quadro P6000,Black / Green,1.417 GHz,False,1,,,4,True,,PCI-Express x16,,PNY,24 GB,GDDR5X,,,,VCQP6000-PB,,True,,,250 W,,,
112,1.86 GHz,GeForce GTX 1660 Ti,Black / Gray,1.5 GHz,False,,,,3,True,1,PCI-Express x16,"280 mm / 11.024""",Gigabyte,6 GB,GDDR6,,,,GV-N166TGAMING OC-6GD,,False,,True,120 W,,,
113,1.545 GHz,GeForce RTX 2080 Ti,Black / Silver,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Zotac,11 GB,GDDR6,,,,ZT-T20810A-10P,,True,,True,250 W,,,1
114,1.392 GHz,GeForce GTX 1050 Ti,Black / White,1.29 GHz,False,1,,,1,True,1,PCI-Express x16,"192 mm / 7.559""",Asus,4 GB,GDDR5,,,,PH-GTX1050TI-4G / 90YV0A70-M0NA00,,False,,True,75 W,,,
115,1.425 GHz,Radeon RX 580,Black / Red,1.405 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"270 mm / 10.63""",XFX,8 GB,GDDR5,,,,RX-580P8DBD6,,False,True,,185 W,,,
116,1.56 GHz,GeForce RTX 2080 Ti,Black / White,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Asus,11 GB,GDDR6,,,,DUAL-RTX2080TI-11G,,True,,True,250 W,,,1
117,1.279 GHz,GeForce GTX 960,Black / Silver,1.216 GHz,False,1,,1,1,True,1,PCI-Express x16,"173 mm / 6.811""",EVGA,4 GB,GDDR5,,,,04G-P4-1962-KR,,True,,True,120 W,,,
118,1.58 GHz,Radeon RX VEGA 64,Black / Silver,1.373 GHz,4-way CrossFire,,,,2,True,2,PCI-Express x16,"310 mm / 12.205""",Sapphire,8 GB,HBM2,,,,11275-03-40G / 100410NT+SR,,False,True,,240 W,,,
119,915 MHz,GeForce GTX Titan Z,Black / Silver,732 MHz,False,1,,1,1,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,12 GB,GDDR5,,,,12G-P4-3992-KR,,True,,True,375 W,,,
120,1.468 GHz,GeForce GT 1030,Black / Silver,1.227 GHz,False,,1,,,True,1,PCI-Express x16,,PNY,2 GB,GDDR5,,,,VCGGT10302PB,,False,,,30 W,,,
121,1.89 GHz,GeForce RTX 2080,Black / Silver,1.71 GHz,False,,,,3,True,3,PCI-Express x16,"290 mm / 11.417""",Gigabyte,8 GB,GDDR6,,,,GV-N2080AORUS-8GC,,True,,True,215 W,,,
122,1.74 GHz,GeForce GTX 1650,Black / White,1.485 GHz,False,1,,,1,True,1,PCI-Express x16,"170 mm / 6.693""",MSI,4 GB,GDDR5,,,,GeForce GTX 1650 VENTUS XS 4G OC / GTX 1650 VENTUS XS 4G OC,,False,,True,75 W,,,
123,1.62 GHz,GeForce RTX 2070,Black,1.41 GHz,False,,,,3,True,1,PCI-Express x16,"307 mm / 12.087""",MSI,8 GB,GDDR6,,,GeForce RTX 2070 GAMING 8G,RTX 2070 GAMING 8G,,False,,True,185 W,,,1
124,,Radeon RX 550 - 640,Black,1.071 GHz,True,1,,,1,True,1,PCI-Express x16,"192 mm / 7.559""",Asus,4 GB,GDDR5,,,,PH-RX550-4G-M7 / AREZ-PH-RX550-4G-M7,,False,True,,65 W,,,
125,1.393 GHz,Radeon RX 580,Black / Red,1.257 GHz,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"276 mm / 10.866""",MSI,8 GB,GDDR5,,,,RX 580 GAMING X 8G,,False,True,,185 W,,,
126,1.17 GHz,Quadro P400,Black,1.07 GHz,False,,,,,True,,PCI-Express x16,"145 mm / 5.709""",PNY,2 GB,GDDR5,3,,,VCQP400-PB,,False,,,30 W,,,
127,1.178 GHz,GeForce GTX 960,Black,1.127 GHz,False,,,1,3,True,1,PCI-Express x16,"257 mm / 10.118""",EVGA,4 GB,GDDR5,,,,04G-P4-3965-KR,,True,,True,120 W,,,
128,1.331 GHz,Radeon RX 570,Black / Silver,1.228 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"279 mm / 10.984""",ASRock,8 GB,GDDR5,,,RX570 8G OC,90-GA0800-00UANF / PHANTOM GXR RX570 8G OC,,False,True,,150 W,,,
129,1.74 GHz,GeForce RTX 2070,Black / White,1.41 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Asus,8 GB,GDDR6,,,,DUAL-RTX2070-O8G / 90YV0C82-M0NA00,,False,,True,185 W,,,1
130,1.076 GHz,GeForce GTX 980 Ti,Black / Silver,1 GHz,False,,,1,3,True,1,PCI-Express x16,"267 mm / 10.512""",Zotac,6 GB,GDDR5,,,,ZT-90501-10P,,4-way SLI,,True,250 W,,,
131,1.392 GHz,GeForce GTX 1050 Ti,Black / White,1.29 GHz,False,1,,,1,True,1,PCI-Express x16,"145 mm / 5.709""",Inno3D,4 GB,GDDR5,,,,N105T-1SDV-M5CM,,False,,True,75 W,,,
132,1.38 GHz,Radeon RX 580,Red / Black,1.34 GHz,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"270 mm / 10.63""",MSI,8 GB,GDDR5,,,,RX 580 ARMOR MK2 8G OC,,False,True,,185 W,,,
133,1.683 GHz,GeForce GTX 1070,Black / Red,1.506 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",PNY,8 GB,GDDR5,,,,VCGGTX10708PB,,True,,True,150 W,,,
134,1.582 GHz,GeForce GTX 1080 Ti,Silver / Black,1.48 GHz,False,1,,,3,True,1,PCI-Express x16,"270 mm / 10.63""",EVGA,11 GB,GDDR5X,,,,11G-P4-6591-KR,,True,,True,250 W,,,
135,1.755 GHz,GeForce RTX 2080 Ti,Black / Clear,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"290.83 mm / 11.45""",EVGA,11 GB,GDDR6,,,,11G-P4-2484-KR,,True,,True,250 W,,,1
136,1.284 GHz,Radeon RX 570,Black / Red,1.264 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"243 mm / 9.567""",XFX,4 GB,GDDR5,,,,RX-570P4DFDR,,False,True,,150 W,,,
137,1.441 GHz,Quadro GP100,Black / Green,1.38 GHz,False,1,,,4,True,,PCI-Express x16,"267 mm / 10.512""",PNY,16 GB,HBM2,,,,VCQGP100-PB,,True,,,235 W,,,
138,,Radeon RX 550 - 512,Black / Silver,1.183 GHz,True,1,,,1,True,1,PCI-Express x16,"170 mm / 6.693""",ASRock,2 GB,GDDR5,,,,RX550 2G,,False,True,,75 W,,,
139,1.797 GHz,GeForce GTX 1080,Black / Orange,1.657 GHz,False,1,,,3,True,1,PCI-Express x16,"280 mm / 11.024""",Gigabyte,8 GB,GDDR5X,,,,GV-N1080WF3OC-8GD,,True,,True,180 W,,,
140,1.683 GHz,GeForce GTX 1070 Ti,Black / White,1.607 GHz,False,1,,,3,True,1,PCI-Express x16,"269 mm / 10.591""",MSI,8 GB,GDDR5,,,,GTX 1070 Ti AERO 8G,,True,,True,180 W,,,
141,1.392 GHz,GeForce GTX 1050 Ti,Black,1.29 GHz,False,1,,,1,True,1,PCI-Express x16,"178 mm / 7.008""",PNY,4 GB,GDDR5,,,,VCGGTX1050T4PB,,False,,True,75 W,,,
142,1.8 GHz,GeForce RTX 2080,Silver / Black,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",MSI,8 GB,GDDR6,,,,GeForce RTX 2080 VENTUS 8G OC / RTX 2080 VENTUS 8G OC,,True,,True,215 W,,,1
143,1.845 GHz,GeForce GTX 1660,Black,1.53 GHz,False,,,,3,True,1,PCI-Express x16,"209.6 mm / 8.252""",Zotac,6 GB,GDDR5,,,,ZT-T16600D-10M,,False,,True,130 W,,,
144,,GeForce RTX 2080,Black,,False,,,,3,True,1,PCI-Express x16,"308 mm / 12.126""",Zotac,8 GB,GDDR6,,,,ZT-T20800D-10P,,True,,True,215 W,,,
145,,GeForce RTX 2080,Black,1.71 GHz,False,,,,3,True,1,PCI-Express x16,"280.35 mm / 11.037""",Gigabyte,8 GB,GDDR6,,,,GV-N2080WF3-8GC,,True,,True,215 W,,,1
146,1.219 GHz,Radeon Pro WX 2100,Blue,925 MHz,False,,,,1,True,,PCI-Express x16,"145 mm / 5.709""",AMD,2 GB,GDDR5,2,,,100-506001,,False,True,,65 W,,,
147,1.62 GHz,GeForce RTX 2070,Clear / Black,1.41 GHz,False,1,,,2,True,1,PCI-Express x16,"269.2 mm / 10.598""",EVGA,8 GB,GDDR6,,,,08G-P4-1071-KR,,False,,True,185 W,,,1
148,1.71 GHz,GeForce RTX 2080,Black,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"268 mm / 10.551""",Zotac,8 GB,GDDR6,,,,ZT-T20800G-10P,,True,,True,215 W,,,1
149,1.431 GHz,Radeon RX 580,Black,1.257 GHz,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"298 mm / 11.732""",Asus,8 GB,GDDR5,,,,ROG-STRIX-RX580-T8G-GAMING,,False,True,,185 W,,,
150,1.546 GHz,Radeon RX VEGA 64,Black / Red,1.247 GHz,4-way CrossFire,,,,3,True,1,PCI-Express x16,"280 mm / 11.024""",ASRock,8 GB,HBM2,,,,Phantom X VEGA 64 8G,,False,True,,295 W,,,
151,1.392 GHz,GeForce GTX 1050 Ti,Black,1.29 GHz,False,1,,,1,True,1,PCI-Express x16,"145 mm / 5.709""",EVGA,4 GB,GDDR5,,,,04G-P4-6251-KR,,False,,True,75 W,,,
152,,GeForce GT 710,Black,954 MHz,False,1,,,,False,1,PCI-Express x16,"146 mm / 5.748""",MSI,1 GB,DDR3,,,,GT 710 1GD3H LP,,False,,,19 W,1,,
153,1.8 GHz,GeForce GTX 1660 Ti,Black / White,1.5 GHz,False,1,,,1,True,2,PCI-Express x16,"215 mm / 8.465""",Asus,6 GB,GDDR6,,,,DUAL-GTX1660TI-6G,,False,,True,120 W,,,
154,1.785 GHz,GeForce GTX 1660 Ti,Black / Gray,1.5 GHz,False,,,,3,True,1,PCI-Express x16,"170 mm / 6.693""",Gigabyte,6 GB,GDDR6,,,,GV-N166TIXOC-6GD,,False,,True,120 W,,,
155,1.493 GHz,GeForce GTX 1050 Ti,Black / Red,1.29 GHz,False,1,,,1,True,1,PCI-Express x16,"229 mm / 9.016""",MSI,4 GB,GDDR5,,,,GTX 1050 Ti GAMING X 4G / GTX 1050 TI GAMING X / GEFORCE GTX 1050 TI GAMING X 4G,,False,,True,75 W,,,
156,1.77 GHz,GeForce RTX 2060,Black,1.365 GHz,False,,,,3,True,1,PCI-Express x16,"264.9 mm / 10.429""",Gigabyte,6 GB,GDDR6,,,,GV-N2060WF2OC-6GD,,False,,True,160 W,,,
157,1.447 GHz,Quadro GV100,Black / Gold,1.2 GHz,False,,,,4,True,,PCI-Express x16,"267 mm / 10.512""",PNY,32 GB,HBM2,,,,VCQGV100-PB,,True,,,250 W,,,
158,1.755 GHz,GeForce RTX 2060,Black,1.365 GHz,False,1,,,1,True,1,PCI-Express x16,"189.89 mm / 7.476""",EVGA,6 GB,GDDR6,,,,06G-P4-2063-KR,,False,,True,160 W,,,
159,1.545 GHz,Quadro RTX 4000,Silver / Black,1.005 GHz,False,,,,3,True,,PCI-Express x16,"266.7 mm / 10.5""",PNY,8 GB,GDDR6,,,,VCQRTX4000-PB,,False,,,160 W,,,1
160,1.683 GHz,GeForce GTX 1070 Ti,Black / Yellow,1.607 GHz,False,1,,,3,True,1,PCI-Express x16,"325 mm / 12.795""",Zotac,8 GB,GDDR5,,,,ZT-P10710B-10P,,True,,True,180 W,,,
161,,GeForce GT 710,Black,954 MHz,False,1,,,,True,1,PCI-Express x16,"146 mm / 5.748""",MSI,2 GB,DDR3,,,,GT 710 2GD3 LP,,False,,,19 W,1,,
162,1.683 GHz,GeForce GTX 1070 Ti,Black,1.607 GHz,False,1,,,3,True,1,PCI-Express x16,"252 mm / 9.921""",PNY,8 GB,GDDR5,,,,VCGGTX1070T8PB,,True,,True,180 W,,,
163,1.847 GHz,GeForce GTX 1060 3GB,Black / Orange,1.62 GHz,False,1,,,3,True,1,PCI-Express x16,"278 mm / 10.945""",Gigabyte,3 GB,GDDR5,,,,GV-N1060G1 GAMING-3GD,,False,,True,120 W,,,
164,1.56 GHz,GeForce RTX 2080 Ti,Black,1.35 GHz,False,,,,2,True,2,PCI-Express x16,"304.7 mm / 11.996""",Asus,11 GB,GDDR6,,,,ROG-STRIX-RTX2080TI-11G-GAMING / ROG-STRIX-RTX2080TI-11G-G,,True,,True,250 W,,,1
165,1.545 GHz,GeForce RTX 2080 Ti,Black,1.35 GHz,False,,,,3,True,1,PCI-Express x16,"308 mm / 12.126""",Zotac,11 GB,GDDR6,,,,ZT-T20810F-10P,,True,,True,250 W,,,
166,1.665 GHz,GeForce GTX 1650,Black,1.485 GHz,False,1,,,1,True,1,PCI-Express x16,,EVGA,4 GB,GDDR5,,,,04G-P4-1151-KR,,False,,True,75 W,,,
167,,Radeon RX 550 - 512,Black / Red,1.203 GHz,True,1,,,1,True,1,PCI-Express x16,"178 mm / 7.008""",XFX,4 GB,GDDR5,,,,RX-550P4LFG5,,False,True,,75 W,,,
168,1.53 GHz,Radeon Pro WX 8200,Blue,1.2 GHz,False,,,,,True,,PCI-Express x16,"267 mm / 10.512""",AMD,8 GB,HBM2,4,,,100-505956,,False,,,230 W,,,
169,1.797 GHz,GeForce GTX 1060 3GB,Black / Orange,1.556 GHz,False,2,,,1,True,1,PCI-Express x16,"223 mm / 8.78""",Gigabyte,3 GB,GDDR5,,,,GV-N1060WF2OC-3GD,,False,,True,120 W,,,
170,1.797 GHz,GeForce GTX 1070,Black / Silver,1.607 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,8 GB,GDDR5,,,,08G-P4-6278-KR,,True,,True,150 W,,,
171,1.569 GHz,GeForce GTX 1050,Black,1.455 GHz,False,1,,,1,True,1,PCI-Express x16,"145 mm / 5.709""",EVGA,3 GB,GDDR5,,,,03G-P4-6153-KR,,False,,True,75 W,,,
172,1.86 GHz,GeForce GTX 1060 3GB,Black,1.632 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,3 GB,GDDR5,,,,03G-P4-6367 / 03G-P4-6367-KR,,False,,True,150 W,,,
173,1.25 GHz,Radeon RX 570,Black / Red,1.168 GHz,4-way CrossFire,1,,,3,True,1,PCI-Express x16,"255 mm / 10.039""",PowerColor,8 GB,GDDR5,,,,AXRX 570 8GBD5-3DHD/OC,,False,True,,150 W,,,
174,1.759 GHz,GeForce GTX 1060 6GB,Black / White,1.544 GHz,False,1,,,2,True,2,PCI-Express x16,"175 mm / 6.89""",MSI,6 GB,GDDR5,,,,GTX 1060 AERO ITX 6G OC,,False,,True,120 W,,,
175,1.77 GHz,GeForce GTX 1660 Ti,,1.5 GHz,False,1,,,1,True,1,PCI-Express x16,"189.89 mm / 7.476""",EVGA,6 GB,GDDR6,,,,06G-P4-1261-KR,,False,,True,130 W,,,
176,,Radeon RX 590,Black / White,1.565 GHz,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"278 mm / 10.945""",MSI,8 GB,GDDR5,,,Radeon RX 590 ARMOR 8G OC,RX 590 ARMOR 8G OC / Radeon RX 590 ARMOR 8G OC,,False,True,,225 W,,,
177,,GeForce GTX 1660 Ti,Black,1.5 GHz,False,,,,3,True,1,PCI-Express x16,,Zotac,6 GB,GDDR6,,,,ZT-T16610D-10M,,False,,True,130 W,,,
178,1.683 GHz,GeForce GTX 1070,Black / Silver,1.506 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,8 GB,GDDR5,,,,08G-P4-6170-KR,,True,,True,150 W,,,
179,1.683 GHz,GeForce GTX 1070 Ti,Black / Silver,1.607 GHz,False,1,,,3,True,1,PCI-Express x16,"279 mm / 10.984""",MSI,8 GB,GDDR5,,,,GTX 1070 TI TITANIUM 8G,,True,,True,180 W,,,
180,1.216 GHz,GeForce GTX Titan X,Black / Silver,1.127 GHz,False,,,1,3,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,12 GB,GDDR5,,,,12G-P4-2992-KR,,4-way SLI,,True,250 W,,,
181,1.31 GHz,Radeon RX 570,Black,1.168 GHz,4-way CrossFire,2,,,1,True,1,PCI-Express x16,"240 mm / 9.449""",Asus,4 GB,GDDR5,,,,AREZ-STRIX-RX570-O4G-GAMING,,False,True,,150 W,,,
182,1.708 GHz,GeForce GTX 1060 3GB,Black,1.506 GHz,False,1,,,3,True,1,PCI-Express x16,"250 mm / 9.843""",PNY,3 GB,GDDR5,,,,VCGGTX10603PB,,False,,True,120 W,,,
183,1.759 GHz,GeForce GTX 1060 6GB,Black,1.518 GHz,False,1,,,2,True,2,PCI-Express x16,"298 mm / 11.732""",Asus,6 GB,GDDR5,,,,ROG-STRIX-GTX1060-A6G-GAMING,,False,,True,120 W,,,
184,,GeForce RTX 2080 Ti,Black,,False,,,,2,True,2,PCI-Express x16,"304.7 mm / 11.996""",Asus,11 GB,GDDR6,,,,ROG-STRIX-RTX2080TI-A11G-GAMING,,True,,True,250 W,,,1
185,,GeForce RTX 2080,,,False,,,,2,True,2,PCI-Express x16,"297.7 mm / 11.72""",Asus,8 GB,GDDR6,,,,ROG-STRIX-RTX2080-O8G-GAMING,,True,,True,215 W,,,
186,1.683 GHz,GeForce GTX 1080 Ti,Black,1.569 GHz,False,1,,,3,True,1,PCI-Express x16,"289 mm / 11.378""",EVGA,11 GB,GDDR5X,,,,11G-P4-6698-KR,,True,,True,280 W,,,
187,,Radeon R7 250,Black / Red,,True,,,1,,True,1,PCI-Express x16,,VisionTek,1 GB,GDDR5,,,,900685,,False,,,65 W,1,,
188,1.83 GHz,GeForce RTX 2060,White / Black,1.68 GHz,False,,,,3,True,1,PCI-Express x16,"280.35 mm / 11.037""",Gigabyte,6 GB,GDDR6,,,GeForce RTX 2060 GAMING OC PRO WHITE 6G,GV-N2060GAMINGOC PRO WHITE-6GD,,False,,True,160 W,,,
189,1.845 GHz,GeForce RTX 2060,Black / Orange,1.365 GHz,False,,,,3,True,1,PCI-Express x16,"290 mm / 11.417""",Gigabyte,6 GB,GDDR6,,,,GV-N2060AORUS X-6GC,,False,,True,160 W,,,1
190,1.797 GHz,GeForce GTX 1060 6GB,Black / Red,1.582 GHz,False,1,,,3,True,1,PCI-Express x16,"173 mm / 6.811""",PNY,6 GB,GDDR5,,,,VCGGTX10606XGPB-OC,,False,,True,120 W,,,
191,1.254 GHz,Radeon RX 570,Black / Red,1.168 GHz,4-way CrossFire,1,,,1,True,1,PCI-Express x16,"240 mm / 9.449""",Asus,4 GB,GDDR5,,,,EX-RX570-4G,,False,True,,150 W,,,
192,1.695 GHz,GeForce RTX 2060,Black,1.365 GHz,False,,,,3,True,1,PCI-Express x16,"170 mm / 6.693""",Gigabyte,6 GB,GDDR6,,,,GV-N2060IXOC-6GD,,False,,True,160 W,,,
193,1.845 GHz,GeForce GTX 1660 Ti,Black / Gray,1.5 GHz,False,,,,3,True,1,PCI-Express x16,"264.9 mm / 10.429""",Gigabyte,6 GB,GDDR6,,,,GV-N166TWF2OC-6GD,,False,,True,120 W,,,
194,1.544 GHz,GeForce GT 1030,,1.29 GHz,False,1,,,,False,1,PCI-Express x16,"145 mm / 5.709""",EVGA,2 GB,GDDR5,,,,02G-P4-6332-KR,,False,,,30 W,,,
195,1.83 GHz,GeForce GTX 1660,Black / White,1.53 GHz,False,,,,3,True,1,PCI-Express x16,"204 mm / 8.031""",MSI,6 GB,GDDR5,,,,GTX 1660 VENTUS XS 6G OC,,False,,True,130 W,,,
196,1.442 GHz,GeForce GTX 1050 Ti,Black,1.328 GHz,False,1,,,1,True,2,PCI-Express x16,"167 mm / 6.575""",Gigabyte,4 GB,GDDR5,,,,GV-N105TOC-4GL,,False,,True,75 W,,,
197,1.83 GHz,GeForce GTX 1660 Ti,Black / White,1.5 GHz,False,1,,,1,True,2,PCI-Express x16,"215 mm / 8.465""",Asus,6 GB,GDDR6,,,,DUAL-GTX1660TI-O6G,,False,,True,120 W,,,
198,,GeForce RTX 2080 Ti,Black,,False,,,,3,True,1,PCI-Express x16,"308 mm / 12.126""",Zotac,11 GB,GDDR6,,,,ZT-T20810D-10P,,True,,True,250 W,,,
199,1.281 GHz,Radeon RX 570,Red / Black,1.244 GHz,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"270 mm / 10.63""",MSI,8 GB,GDDR5,,,,RX 570 ARMOR MK2 8G OC / R570AR28C,,False,True,,150 W,,,
200,,Radeon R5 230,Black / Red,625 MHz,False,1,,,,False,1,PCI-Express x16,"168 mm / 6.614""",Asus,1 GB,DDR3,,,,R5230-SL-1GD3-L,,False,,,19 W,1,,
201,1.556 GHz,GeForce GTX 1050,Black,1.442 GHz,False,1,,,1,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,2 GB,GDDR5,,,,02G-P4-6157-KR,,False,,True,120 W,,,
202,,GeForce GT 430,Black / Gold,785 MHz,False,,,1,,True,1,PCI-Express x16,,MSI,1 GB,DDR3,,,,N430GT-MD1GD3-OC/LP,,False,,,49 W,1,,
203,1.733 GHz,GeForce GTX 1080 Ti,Black,1.62 GHz,False,1,,,2,True,2,PCI-Express x16,"298 mm / 11.732""",Asus,11 GB,GDDR5X,,,,ROG-POSEIDON-GTX1080TI-P11G-GAMING / POSEIDON-GTX1080TI-P11G-GAMING,,True,,True,250 W,,,
204,,GeForce GT 730,Black,1.006 GHz,False,1,,,,True,1,PCI-Express x16,"141 mm / 5.551""",MSI,2 GB,GDDR5,,,,N730K-2GD5LP/OC,,False,,,49 W,1,,
205,1.68 GHz,GeForce RTX 2070,Black,1.41 GHz,False,,,,2,True,2,PCI-Express x16,"300.5 mm / 11.831""",Asus,8 GB,GDDR6,,,,ROG-STRIX-RTX2070-A8G-GAMING,,False,,True,185 W,,,1
206,1.62 GHz,GeForce RTX 2070,Black / Clear,1.41 GHz,False,,,,3,True,1,PCI-Express x16,"265.63 mm / 10.458""",EVGA,8 GB,GDDR6,,,,08G-P4-2070-KR,,False,,True,185 W,,,1
207,1.801 GHz,Radeon VII,Silver,1.4 GHz,False,,,,3,True,1,PCI-Express x16,"280 mm / 11.024""",XFX,16 GB,HBM2,,,,RX-VEGMA3FD6,,False,True,,295 W,,,
208,1.544 GHz,GeForce GT 1030,Gray,1.29 GHz,False,2,,,,True,,PCI-Express x16,"168 mm / 6.614""",EVGA,2 GB,GDDR5,,,,02G-P4-6338-KR,,False,,,30 W,,,
209,1.8 GHz,GeForce RTX 2060,Silver / Black,1.365 GHz,False,,,,3,True,1,PCI-Express x16,"209.6 mm / 8.252""",Zotac,6 GB,GDDR6,,,,ZT-T20600D-10M,,False,,True,160 W,,,
210,1.38 GHz,Radeon RX 580,Black,1.257 GHz,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"298 mm / 11.732""",Asus,8 GB,GDDR5,,,,AREZ-STRIX-RX580-O8G-GAMING,,False,True,,185 W,,,
211,1.68 GHz,GeForce RTX 2060,Black,1.365 GHz,False,,,,2,True,2,PCI-Express x16,"300 mm / 11.811""",Asus,6 GB,GDDR6,,,,ROG-STRIX-RTX2060-6G-GAMING / ROG-STRIX-RTX2060-6G-GAMI,,False,,True,160 W,,,
212,1.196 GHz,Radeon RX 560 - 1024,Black / Silver,1.175 GHz,True,1,,,1,True,1,PCI-Express x16,"155 mm / 6.102""",MSI,2 GB,GDDR5,,,,RX 560 AERO ITX 2G OC,,False,True,,90 W,,,
213,1.71 GHz,GeForce GTX 1650,Black / Silver,1.485 GHz,False,,,,1,True,2,PCI-Express x16,"191 mm / 7.52""",Gigabyte,4 GB,GDDR5,,,,GV-N1650OC-4GD,,False,,True,75 W,,,
214,,Quadro M4000,Black / Green,,4-way CrossFire,,,,4,True,,PCI-Express x16,"241 mm / 9.488""",PNY,8 GB,GDDR5,,,,VCQM4000-PB,,False,,,120 W,,,
215,1.785 GHz,GeForce GTX 1650,Black / Silver,1.665 GHz,False,,,,1,True,3,PCI-Express x16,,Gigabyte,4 GB,GDDR5,,,,GV-N1650WF2OC-4GD,,False,,True,75 W,,,
216,1.336 GHz,Radeon RX 560 - 1024,Black,1.175 GHz,True,1,,,1,True,1,PCI-Express x16,"194 mm / 7.638""",Asus,4 GB,GDDR5,,,,ROG-STRIX-RX560-O4G-GAMING,,False,True,,90 W,,,
